Matavo anoniminis tinginys

Usd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usg=1.00E+0V,Usg=1.17E+0V,Usg=1.33E+0V,Usg=1.50E+0V,Usg=1.67E+0V,Usg=1.83E+0V,Usg=2.00E+0V
1.00000E+0,7.88586E-5,4.61159E-4,1.75331E-3,4.68301E-3,9.82988E-3,1.75677E-2,2.79741E-2
9.89899E-1,7.87704E-5,4.60930E-4,1.75351E-3,4.68891E-3,9.85152E-3,1.76059E-2,2.80359E-2
9.79798E-1,7.83568E-5,4.60726E-4,1.75396E-3,4.69318E-3,9.86577E-3,1.76342E-2,2.80797E-2
9.69697E-1,7.79762E-5,4.60626E-4,1.75428E-3,4.69666E-3,9.87736E-3,1.76572E-2,2.81150E-2
9.59596E-1,7.79422E-5,4.60537E-4,1.75472E-3,4.69958E-3,9.88713E-3,1.76768E-2,2.81429E-2
9.49495E-1,7.79206E-5,4.60465E-4,1.75493E-3,4.70222E-3,9.89577E-3,1.76935E-2,2.81649E-2
9.39394E-1,7.78921E-5,4.60397E-4,1.75511E-3,4.70415E-3,9.90288E-3,1.77082E-2,2.81831E-2
9.29293E-1,7.78790E-5,4.60342E-4,1.75530E-3,4.70647E-3,9.90948E-3,1.77204E-2,2.81973E-2
9.19192E-1,7.78625E-5,4.60280E-4,1.75562E-3,4.70826E-3,9.91544E-3,1.77318E-2,2.82089E-2
9.09091E-1,7.78386E-5,4.60253E-4,1.75579E-3,4.70972E-3,9.92059E-3,1.77416E-2,2.82167E-2
8.98990E-1,7.78260E-5,4.60218E-4,1.75583E-3,4.71129E-3,9.92520E-3,1.77503E-2,2.82218E-2
8.88889E-1,7.78093E-5,4.60148E-4,1.75606E-3,4.71278E-3,9.92949E-3,1.77578E-2,2.82243E-2
8.78788E-1,7.77889E-5,4.60141E-4,1.75623E-3,4.71384E-3,9.93336E-3,1.77641E-2,2.82243E-2
8.68687E-1,7.77827E-5,4.60068E-4,1.75645E-3,4.71517E-3,9.93710E-3,1.77700E-2,2.82210E-2
8.58586E-1,7.77732E-5,4.60004E-4,1.75653E-3,4.71616E-3,9.93990E-3,1.77747E-2,2.82159E-2
8.48485E-1,7.77531E-5,4.59988E-4,1.75658E-3,4.71699E-3,9.94294E-3,1.77787E-2,2.82077E-2
8.38384E-1,7.77524E-5,4.59985E-4,1.75668E-3,4.71773E-3,9.94559E-3,1.77815E-2,2.81977E-2
8.28283E-1,7.77406E-5,4.59947E-4,1.75668E-3,4.71857E-3,9.94793E-3,1.77840E-2,2.81843E-2
