Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=0.00E+0V,Usd=166.67E-3V,Usd=333.33E-3V,Usd=500.00E-3V,Usd=666.67E-3V,Usd=833.33E-3V,Usd=1.00E+0V
7.00000E-1,3.01098E-7,1.29712E-6,1.27200E-6,1.31866E-6,1.39871E-6,1.53577E-6,1.63909E-6
7.13131E-1,3.64407E-7,1.58410E-6,1.55250E-6,1.60287E-6,1.69258E-6,1.84867E-6,1.96396E-6
7.26263E-1,4.39055E-7,1.92405E-6,1.88509E-6,1.94386E-6,2.04324E-6,2.22300E-6,2.35319E-6
7.39394E-1,5.27487E-7,2.33129E-6,2.28399E-6,2.34970E-6,2.46294E-6,2.67146E-6,2.81902E-6
7.52525E-1,6.32525E-7,2.81978E-6,2.76302E-6,2.83704E-6,2.96726E-6,3.20964E-6,3.37809E-6
7.65657E-1,7.56206E-7,3.40480E-6,3.33706E-6,3.41988E-6,3.56987E-6,3.85194E-6,4.04536E-6
7.78788E-1,9.03323E-7,4.10844E-6,4.02746E-6,4.12187E-6,4.29460E-6,4.62381E-6,4.84558E-6
7.91919E-1,1.07702E-6,4.95146E-6,4.85521E-6,4.96303E-6,5.16141E-6,5.54603E-6,5.80226E-6
8.05051E-1,1.28151E-6,5.96013E-6,5.84687E-6,5.96960E-6,6.19820E-6,6.64793E-6,6.94313E-6
8.18182E-1,1.52320E-6,7.16409E-6,7.03226E-6,7.17328E-6,7.43667E-6,7.96242E-6,8.30135E-6
8.31313E-1,1.80699E-6,8.60256E-6,8.44746E-6,8.61035E-6,8.91418E-6,9.52768E-6,9.91844E-6
8.44444E-1,2.13795E-6,1.03165E-5,1.01364E-5,1.03202E-5,1.06654E-5,1.12856E-5,1.18219E-5
8.57576E-1,2.52517E-6,1.23505E-5,1.21443E-5,1.23555E-5,1.27509E-5,1.33298E-5,1.40966E-5
8.70707E-1,2.97649E-6,1.47634E-5,1.45280E-5,1.47689E-5,1.52248E-5,1.57720E-5,1.67854E-5
8.83838E-1,3.49953E-6,1.76200E-5,1.73481E-5,1.76248E-5,1.81493E-5,1.87777E-5,1.99545E-5
8.96970E-1,4.09970E-6,2.09816E-5,2.06725E-5,2.09920E-5,2.15911E-5,2.23114E-5,2.36784E-5
9.10101E-1,4.79343E-6,2.49508E-5,2.45998E-5,2.49658E-5,2.56580E-5,2.64827E-5,2.80643E-5
9.23232E-1,5.58979E-6,2.96151E-5,2.92218E-5,2.96382E-5,3.04044E-5,3.13745E-5,3.32055E-5
9.36364E-1,6.50105E-6,3.50829E-5,3.46432E-5,3.51140E-5,3.59935E-5,3.71004E-5,3.92103E-5
9.49495E-1,7.53623E-6,4.14672E-5,4.09834E-5,4.15183E-5,4.25261E-5,4.37865E-5,4.62121E-5
9.62626E-1,8.71147E-6,4.89073E-5,4.83795E-5,4.89910E-5,5.01355E-5,5.15664E-5,5.43575E-5
9.75758E-1,1.00310E-5,5.75536E-5,5.69792E-5,5.76759E-5,5.89811E-5,6.06003E-5,6.37880E-5
9.88889E-1,1.15305E-5,6.75583E-5,6.69566E-5,6.77308E-5,6.92185E-5,7.10453E-5,7.46878E-5
1.00202E+0,1.31954E-5,7.91042E-5,7.84696E-5,7.93548E-5,8.10315E-5,8.30987E-5,8.72408E-5
