Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=1.00E+0V,Usd=5.00E+0V,Usd=9.00E+0V,Usd=13.00E+0V,Usd=17.00E+0V,Usd=21.00E+0V,Usd=25.00E+0V
4.00000E+0,5.55406E-5,6.51383E-5,6.84550E-5,7.02608E-5,7.21296E-5,7.36197E-5,7.49067E-5
4.01010E+0,6.02329E-5,7.07470E-5,7.43760E-5,7.63266E-5,7.83532E-5,7.99478E-5,8.13316E-5
4.02020E+0,6.54633E-5,7.69655E-5,8.09393E-5,8.30658E-5,8.52657E-5,8.69691E-5,8.84684E-5
4.03030E+0,7.09533E-5,8.35074E-5,8.78251E-5,9.01284E-5,9.25164E-5,9.43596E-5,9.59715E-5
4.04040E+0,7.70874E-5,9.08465E-5,9.55257E-5,9.80377E-5,1.00611E-4,1.02586E-4,1.04349E-4
4.05051E+0,8.37764E-5,9.88359E-5,1.03936E-4,1.06636E-4,1.09438E-4,1.11568E-4,1.13472E-4
4.06061E+0,9.07936E-5,1.07243E-4,1.12763E-4,1.15689E-4,1.18725E-4,1.21012E-4,1.23069E-4
4.07071E+0,9.86597E-5,1.16638E-4,1.22668E-4,1.25843E-4,1.29148E-4,1.31610E-4,1.33820E-4
4.08081E+0,1.07199E-4,1.26879E-4,1.33443E-4,1.36869E-4,1.40459E-4,1.43120E-4,1.45518E-4
4.09091E+0,1.16177E-4,1.37659E-4,1.44798E-4,1.48514E-4,1.52395E-4,1.55262E-4,1.57843E-4
4.10101E+0,1.26222E-4,1.49739E-4,1.57523E-4,1.61534E-4,1.65751E-4,1.68853E-4,1.71625E-4
4.11111E+0,1.37148E-4,1.62855E-4,1.71359E-4,1.75684E-4,1.80286E-4,1.83626E-4,1.86618E-4
4.12121E+0,1.48592E-4,1.76649E-4,1.85920E-4,1.90582E-4,1.95556E-4,1.99154E-4,2.02403E-4
4.13131E+0,1.61447E-4,1.92131E-4,2.02266E-4,2.07312E-4,2.12698E-4,2.16608E-4,2.20108E-4
4.14141E+0,1.75407E-4,2.08944E-4,2.19982E-4,2.25506E-4,2.31281E-4,2.35508E-4,2.39294E-4
4.15152E+0,1.90087E-4,2.26657E-4,2.38641E-4,2.44639E-4,2.50919E-4,2.55434E-4,2.59490E-4
4.16162E+0,2.06492E-4,2.46444E-4,2.59515E-4,2.65973E-4,2.72838E-4,2.77758E-4,2.82088E-4
4.17172E+0,2.24267E-4,2.67916E-4,2.82152E-4,2.89212E-4,2.96685E-4,3.01963E-4,3.06693E-4
4.18182E+0,2.42974E-4,2.90547E-4,3.06048E-4,3.13728E-4,3.21786E-4,3.27417E-4,3.32512E-4
4.19192E+0,2.63935E-4,3.15922E-4,3.32779E-4,3.41061E-4,3.49933E-4,3.55941E-4,3.61415E-4
4.20202E+0,2.86645E-4,3.43458E-4,3.61832E-4,3.70846E-4,3.80391E-4,3.86975E-4,3.92903E-4
4.21212E+0,3.10574E-4,3.72484E-4,3.92462E-4,4.02257E-4,4.12552E-4,4.19635E-4,4.25974E-4
4.22222E+0,3.37302E-4,4.04894E-4,4.26627E-4,4.37245E-4,4.48541E-4,4.56157E-4,4.62939E-4
4.23232E+0,3.65358E-4,4.38943E-4,4.62622E-4,4.74065E-4,4.86285E-4,4.94557E-4,5.01808E-4
4.24242E+0,3.96716E-4,4.77058E-4,5.02835E-4,5.15249E-4,5.28671E-4,5.37453E-4,5.45311E-4
4.25253E+0,4.30821E-4,5.18453E-4,5.46476E-4,5.60036E-4,5.74586E-4,5.84029E-4,5.92529E-4
4.26263E+0,4.66501E-4,5.61881E-4,5.92346E-4,6.07087E-4,6.22686E-4,6.32951E-4,6.42127E-4
4.27273E+0,5.06482E-4,6.10553E-4,6.43777E-4,6.59619E-4,6.76714E-4,6.87782E-4,6.97543E-4
4.28283E+0,5.49791E-4,6.63329E-4,6.99458E-4,7.16744E-4,7.35211E-4,7.47097E-4,7.57741E-4
4.29293E+0,5.95275E-4,7.18763E-4,7.58017E-4,7.76713E-4,7.96855E-4,8.09546E-4,8.20957E-4
4.30303E+0,6.45955E-4,7.80748E-4,8.23452E-4,8.43723E-4,8.65617E-4,8.79388E-4,8.91675E-4
4.31313E+0,7.00918E-4,8.47946E-4,8.94383E-4,9.16470E-4,9.40135E-4,9.54918E-4,9.68172E-4
4.32323E+0,7.58532E-4,9.18246E-4,9.68697E-4,9.92674E-4,1.01944E-3,1.03491E-3,1.04920E-3
4.33333E+0,8.22802E-4,9.96950E-4,1.05250E-3,1.07859E-3,1.10651E-3,1.12325E-3,1.13856E-3
4.34343E+0,8.92525E-4,1.08293E-3,1.14267E-3,1.17095E-3,1.20126E-3,1.21904E-3,1.23572E-3
4.35354E+0,9.65524E-4,1.17255E-3,1.23712E-3,1.26766E-3,1.30059E-3,1.31970E-3,1.33752E-3
4.36364E+0,1.04789E-3,1.27237E-3,1.34254E-3,1.37557E-3,1.41137E-3,1.43201E-3,1.45126E-3
4.37374E+0,1.13605E-3,1.38048E-3,1.45669E-3,1.49287E-3,1.53169E-3,1.55374E-3,1.57454E-3
4.38384E+0,1.22813E-3,1.49379E-3,1.57632E-3,1.61529E-3,1.65726E-3,1.68102E-3,1.70389E-3
4.39394E+0,1.33118E-3,1.61992E-3,1.70950E-3,1.75201E-3,1.79746E-3,1.82324E-3,1.84783E-3
4.40404E+0,1.43868E-3,1.75212E-3,1.84915E-3,1.89507E-3,1.94419E-3,1.97198E-3,1.99826E-3
4.41414E+0,1.55888E-3,1.89964E-3,2.00498E-3,2.05516E-3,2.10819E-3,2.13826E-3,2.16657E-3
4.42424E+0,1.68828E-3,2.05878E-3,2.17329E-3,2.22736E-3,2.28508E-3,2.31749E-3,2.34776E-3
4.43434E+0,1.82388E-3,2.22492E-3,2.34967E-3,2.40804E-3,2.47023E-3,2.50493E-3,2.53722E-3
4.44444E+0,1.97431E-3,2.41033E-3,2.54568E-3,2.60900E-3,2.67623E-3,2.71378E-3,2.74800E-3
4.45455E+0,2.13708E-3,2.61058E-3,2.75738E-3,2.82590E-3,2.89955E-3,2.93938E-3,2.97653E-3
4.46465E+0,2.30657E-3,2.81972E-3,2.97819E-3,3.05245E-3,3.13224E-3,3.17477E-3,3.21449E-3
4.47475E+0,2.49547E-3,3.05246E-3,3.22339E-3,3.30509E-3,3.39133E-3,3.43721E-3,3.47911E-3
4.48485E+0,2.69899E-3,3.30290E-3,3.48891E-3,3.57715E-3,3.67040E-3,3.71970E-3,3.76499E-3
4.49495E+0,2.91077E-3,3.56377E-3,3.76415E-3,3.85980E-3,3.96096E-3,4.01394E-3,4.06214E-3
4.50505E+0,3.14654E-3,3.85396E-3,4.07132E-3,4.17503E-3,4.28420E-3,4.34111E-3,4.39267E-3
4.51515E+0,3.40010E-3,4.16612E-3,4.40232E-3,4.51490E-3,4.63314E-3,4.69435E-3,4.74952E-3
4.52525E+0,3.66475E-3,4.49166E-3,4.74678E-3,4.86849E-3,4.99663E-3,5.06221E-3,5.12123E-3
4.53535E+0,3.95802E-3,4.85304E-3,5.12940E-3,5.26120E-3,5.40048E-3,5.47076E-3,5.53353E-3
4.54545E+0,4.27288E-3,5.24108E-3,5.53995E-3,5.68292E-3,5.83467E-3,5.90888E-3,5.97707E-3
4.55556E+0,4.60036E-3,5.64555E-3,5.96771E-3,6.12177E-3,6.28723E-3,6.36570E-3,6.43802E-3
4.56566E+0,4.96369E-3,6.09265E-3,6.44086E-3,6.60861E-3,6.78834E-3,6.87281E-3,6.94848E-3
4.57576E+0,5.35277E-3,6.57191E-3,6.94900E-3,7.13002E-3,7.32578E-3,7.41602E-3,7.49732E-3
4.58586E+0,5.75645E-3,7.06982E-3,7.47666E-3,7.67347E-3,7.88475E-3,7.98031E-3,8.06740E-3
4.59596E+0,6.20303E-3,7.62107E-3,8.06015E-3,8.27488E-3,8.50366E-3,8.60591E-3,8.69963E-3
4.60606E+0,6.66611E-3,8.19237E-3,8.66656E-3,8.89848E-3,9.14570E-3,9.25459E-3,9.35377E-3
4.61616E+0,7.17779E-3,8.82319E-3,9.33612E-3,9.58791E-3,9.85677E-3,9.97336E-3,1.00829E-2
4.62626E+0,7.72422E-3,9.49812E-3,1.00545E-2,1.03283E-2,1.06220E-2,1.07455E-2,1.08582E-2
4.63636E+0,8.29144E-3,1.01978E-2,1.07973E-2,1.10933E-2,1.14114E-2,1.15402E-2,1.16617E-2
4.64646E+0,8.91474E-3,1.09680E-2,1.16145E-2,1.19360E-2,1.22807E-2,1.24184E-2,1.25487E-2
4.65657E+0,9.57964E-3,1.17897E-2,1.24873E-2,1.28331E-2,1.32093E-2,1.33563E-2,1.34932E-2
4.66667E+0,1.02673E-2,1.26407E-2,1.33907E-2,1.37650E-2,1.41729E-2,1.43289E-2,1.44753E-2
4.67677E+0,1.10238E-2,1.35776E-2,1.43864E-2,1.47912E-2,1.52349E-2,1.54003E-2,1.55566E-2
4.68687E+0,1.18300E-2,1.45742E-2,1.54466E-2,1.58863E-2,1.63706E-2,1.65440E-2,1.67099E-2
4.69697E+0,1.26610E-2,1.56054E-2,1.65433E-2,1.70181E-2,1.75408E-2,1.77291E-2,1.79033E-2
4.70707E+0,1.35733E-2,1.67327E-2,1.77451E-2,1.82618E-2,1.88304E-2,1.90295E-2,1.92125E-2
4.71717E+0,1.45443E-2,1.79340E-2,1.90242E-2,1.95858E-2,2.02045E-2,2.04142E-2,2.06092E-2
4.72727E+0,1.55424E-2,1.91704E-2,2.03417E-2,2.09509E-2,2.16205E-2,2.18434E-2,2.20478E-2
4.73737E+0,1.66390E-2,2.05300E-2,2.17905E-2,2.24557E-2,2.31816E-2,2.34171E-2,2.36362E-2
4.74747E+0,1.77997E-2,2.19678E-2,2.33253E-2,2.40466E-2,2.48375E-2,2.50884E-2,2.53207E-2
4.75758E+0,1.89890E-2,2.34444E-2,2.49048E-2,2.56833E-2,2.65427E-2,2.68057E-2,2.70524E-2
4.76768E+0,2.02889E-2,2.50587E-2,2.66276E-2,2.74742E-2,2.84111E-2,2.86867E-2,2.89460E-2
4.77778E+0,2.16638E-2,2.67700E-2,2.84564E-2,2.93813E-2,3.00038E-2,3.00040E-2,3.00026E-2
4.78788E+0,2.30707E-2,2.85179E-2,3.00026E-2,3.00037E-2,3.00038E-2,3.00043E-2,3.00041E-2
4.79798E+0,2.46050E-2,3.00026E-2,3.00038E-2,3.00044E-2,3.00045E-2,3.00049E-2,3.00045E-2
4.80808E+0,2.61709E-2,3.00034E-2,3.00037E-2,3.00044E-2,3.00046E-2,3.00049E-2,3.00045E-2
4.81818E+0,2.78712E-2,3.00036E-2,3.00038E-2,3.00045E-2,3.00046E-2,3.00051E-2,3.00047E-2
4.82828E+0,2.96658E-2,3.00035E-2,3.00039E-2,3.00046E-2,3.00047E-2,3.00051E-2,3.00048E-2
4.83838E+0,3.00026E-2,3.00033E-2,3.00035E-2,3.00047E-2,3.00048E-2,3.00051E-2,3.00046E-2
4.84848E+0,3.00027E-2,3.00032E-2,3.00030E-2,3.00042E-2,3.00048E-2,3.00052E-2,3.00046E-2
4.85859E+0,3.00028E-2,3.00031E-2,3.00030E-2,3.00038E-2,3.00043E-2,3.00046E-2,3.00041E-2
4.86869E+0,3.00029E-2,3.00030E-2,3.00028E-2,3.00035E-2,3.00038E-2,3.00042E-2,3.00037E-2
4.87879E+0,3.00029E-2,3.00030E-2,3.00027E-2,3.00033E-2,3.00035E-2,3.00040E-2,3.00036E-2
4.88889E+0,3.00029E-2,3.00029E-2,3.00028E-2,3.00033E-2,3.00035E-2,3.00039E-2,3.00034E-2
