x	CH1	Source	CH1_
-7.50E-07	-0.016	-3.89E-05	-0.02
-7.48E-07	-0.024	-3.89E-05	-0.02
-7.46E-07	-0.024	-3.89E-05	-0.02
-7.44E-07	-0.008	-3.89E-05	-0.02
-7.42E-07	-0.016	-3.89E-05	0
-7.40E-07	-0.016	-3.89E-05	-0.02
-7.38E-07	-0.024	-3.89E-05	-0.02
-7.36E-07	-0.024	-3.89E-05	-0.02
-7.34E-07	-0.008	-3.89E-05	-0.02
-7.32E-07	-0.016	-3.89E-05	0
-7.30E-07	-0.008	-3.88E-05	-0.02
-7.28E-07	-0.024	-3.88E-05	0
-7.26E-07	-0.024	-3.88E-05	-0.02
-7.24E-07	-0.008	-3.88E-05	0
-7.22E-07	-0.016	-3.88E-05	0
-7.20E-07	-0.016	-3.88E-05	0
-7.18E-07	-0.024	-3.88E-05	-0.02
-7.16E-07	-0.016	-3.88E-05	-0.02
-7.14E-07	-0.008	-3.88E-05	-0.02
-7.12E-07	-0.016	-3.88E-05	-0.02
-7.10E-07	-0.016	-3.87E-05	-0.02
-7.08E-07	-0.024	-3.87E-05	-0.02
-7.06E-07	-0.024	-3.87E-05	-0.02
-7.04E-07	-0.008	-3.87E-05	-0.02
-7.02E-07	-0.016	-3.87E-05	-0.02
-7.00E-07	-0.016	-3.87E-05	0
-6.98E-07	-0.032	-3.87E-05	0
-6.96E-07	-0.024	-3.87E-05	-0.02
-6.94E-07	-0.008	-3.87E-05	-0.02
-6.92E-07	-0.008	-3.87E-05	-0.02
-6.90E-07	-0.016	-3.86E-05	-0.02
-6.88E-07	-0.032	-3.86E-05	0
-6.86E-07	-0.024	-3.86E-05	-0.02
-6.84E-07	-0.008	-3.86E-05	-0.02
-6.82E-07	-0.016	-3.86E-05	0
-6.80E-07	-0.008	-3.86E-05	-0.02
-6.78E-07	-0.024	-3.86E-05	-0.02
-6.76E-07	-0.024	-3.86E-05	-0.02
-6.74E-07	-0.008	-3.86E-05	-0.02
-6.72E-07	-0.016	-3.86E-05	0
-6.70E-07	-0.016	-3.85E-05	-0.02
-6.68E-07	-0.024	-3.85E-05	0
-6.66E-07	-0.016	-3.85E-05	-0.02
-6.64E-07	-0.008	-3.85E-05	0
-6.62E-07	-0.016	-3.85E-05	-0.02
-6.60E-07	-0.016	-3.85E-05	-0.02
-6.58E-07	-0.024	-3.85E-05	-0.02
-6.56E-07	-0.024	-3.85E-05	-0.02
-6.54E-07	-0.008	-3.85E-05	-0.02
-6.52E-07	-0.016	-3.85E-05	-0.02
-6.50E-07	-0.016	-3.84E-05	-0.02
-6.48E-07	-0.024	-3.84E-05	-0.02
-6.46E-07	-0.016	-3.84E-05	-0.02
-6.44E-07	-0.016	-3.84E-05	-0.02
-6.42E-07	-0.016	-3.84E-05	-0.02
-6.40E-07	-0.008	-3.84E-05	-0.02
-6.38E-07	-0.024	-3.84E-05	-0.02
-6.36E-07	-0.016	-3.84E-05	-0.02
-6.34E-07	-0.016	-3.84E-05	-0.02
-6.32E-07	-0.024	-3.84E-05	-0.02
-6.30E-07	-0.016	-3.83E-05	-0.02
-6.28E-07	-0.024	-3.83E-05	-0.02
-6.26E-07	-0.016	-3.83E-05	-0.02
-6.24E-07	-0.016	-3.83E-05	-0.02
-6.22E-07	-0.024	-3.83E-05	-0.02
-6.20E-07	-0.016	-3.83E-05	-0.02
-6.18E-07	-0.024	-3.83E-05	-0.02
-6.16E-07	-0.016	-3.83E-05	-0.02
-6.14E-07	-0.008	-3.83E-05	-0.02
-6.12E-07	-0.024	-3.83E-05	0
-6.10E-07	-0.016	-3.82E-05	-0.02
-6.08E-07	-0.024	-3.82E-05	-0.02
-6.06E-07	-0.008	-3.82E-05	-0.02
-6.04E-07	-0.008	-3.82E-05	-0.02
-6.02E-07	-0.016	-3.82E-05	-0.02
-6.00E-07	-0.016	-3.82E-05	-0.02
-5.98E-07	-0.024	-3.82E-05	-0.02
-5.96E-07	-0.016	-3.82E-05	-0.02
-5.94E-07	-0.008	-3.82E-05	-0.02
-5.92E-07	-0.016	-3.82E-05	0
-5.90E-07	-0.016	-3.81E-05	0
-5.88E-07	-0.024	-3.81E-05	-0.02
-5.86E-07	-0.016	-3.81E-05	-0.02
-5.84E-07	-0.008	-3.81E-05	0
-5.82E-07	-0.024	-3.81E-05	-0.02
-5.80E-07	-0.016	-3.81E-05	-0.02
-5.78E-07	-0.024	-3.81E-05	-0.02
-5.76E-07	-0.024	-3.81E-05	-0.02
-5.74E-07	-0.008	-3.81E-05	-0.02
-5.72E-07	-0.016	-3.81E-05	-0.02
-5.70E-07	-0.016	-3.80E-05	-0.02
-5.68E-07	-0.024	-3.80E-05	-0.02
-5.66E-07	-0.024	-3.80E-05	-0.02
-5.64E-07	-0.008	-3.80E-05	-0.02
-5.62E-07	-0.016	-3.80E-05	-0.02
-5.60E-07	-0.016	-3.80E-05	-0.02
-5.58E-07	-0.024	-3.80E-05	0
-5.56E-07	-0.016	-3.80E-05	0
-5.54E-07	-0.016	-3.80E-05	0
-5.52E-07	-0.016	-3.80E-05	-0.02
-5.50E-07	-0.008	-3.79E-05	-0.02
-5.48E-07	-0.024	-3.79E-05	-0.02
-5.46E-07	-0.024	-3.79E-05	-0.02
-5.44E-07	-0.016	-3.79E-05	-0.02
-5.42E-07	-0.016	-3.79E-05	-0.02
-5.40E-07	-0.016	-3.79E-05	-0.02
-5.38E-07	-0.024	-3.79E-05	-0.02
-5.36E-07	-0.016	-3.79E-05	-0.02
-5.34E-07	-0.008	-3.79E-05	-0.02
-5.32E-07	-0.016	-3.79E-05	0
-5.30E-07	-0.016	-3.78E-05	-0.02
-5.28E-07	-0.024	-3.78E-05	-0.02
-5.26E-07	-0.016	-3.78E-05	0
-5.24E-07	-0.008	-3.78E-05	0
-5.22E-07	-0.016	-3.78E-05	0
-5.20E-07	-0.016	-3.78E-05	-0.02
-5.18E-07	-0.024	-3.78E-05	0
-5.16E-07	-0.016	-3.78E-05	-0.02
-5.14E-07	-0.008	-3.78E-05	-0.02
-5.12E-07	-0.016	-3.78E-05	-0.02
-5.10E-07	-0.016	-3.77E-05	-0.02
-5.08E-07	-0.024	-3.77E-05	-0.02
-5.06E-07	-0.024	-3.77E-05	-0.02
-5.04E-07	-0.008	-3.77E-05	-0.02
-5.02E-07	-0.016	-3.77E-05	-0.02
-5.00E-07	-0.016	-3.77E-05	-0.02
-4.98E-07	-0.024	-3.77E-05	0
-4.96E-07	-0.016	-3.77E-05	-0.02
-4.94E-07	-0.008	-3.77E-05	-0.02
-4.92E-07	-0.024	-3.77E-05	-0.02
-4.90E-07	-0.016	-3.76E-05	-0.02
-4.88E-07	-0.024	-3.76E-05	0
-4.86E-07	-0.024	-3.76E-05	-0.02
-4.84E-07	-0.008	-3.76E-05	0
-4.82E-07	-0.024	-3.76E-05	-0.02
-4.80E-07	-0.016	-3.76E-05	0
-4.78E-07	-0.024	-3.76E-05	0
-4.76E-07	-0.016	-3.76E-05	0
-4.74E-07	-0.008	-3.76E-05	0
-4.72E-07	-0.024	-3.76E-05	-0.02
-4.70E-07	-0.016	-3.75E-05	-0.02
-4.68E-07	-0.024	-3.75E-05	-0.02
-4.66E-07	-0.016	-3.75E-05	-0.02
-4.64E-07	-0.008	-3.75E-05	-0.02
-4.62E-07	-0.024	-3.75E-05	-0.02
