Source,CH1
Second,Volt
-0.00000004000,3.60000,
-0.00000003900,3.40000,
-0.00000003800,3.60000,
-0.00000003700,3.40000,
-0.00000003600,3.40000,
-0.00000003500,3.20000,
-0.00000003400,3.40000,
-0.00000003300,3.60000,
-0.00000003200,3.40000,
-0.00000003100,3.40000,
-0.00000003000,3.40000,
-0.00000002900,3.40000,
-0.00000002800,3.20000,
-0.00000002700,3.40000,
-0.00000002600,3.20000,
-0.00000002500,3.20000,
-0.00000002400,3.20000,
-0.00000002300,3.40000,
-0.00000002200,3.00000,
-0.00000002100,3.00000,
-0.00000002000,3.20000,
-0.00000001900,3.00000,
-0.00000001800,3.20000,
-0.00000001700,3.00000,
-0.00000001600,3.00000,
-0.00000001500,2.60000,
-0.00000001400,2.60000,
-0.00000001300,2.60000,
-0.00000001200,2.60000,
-0.00000001100,2.40000,
-0.00000001000,2.40000,
-0.00000000900,2.20000,
-0.00000000800,2.00000,
-0.00000000700,1.80000,
-0.00000000600,1.80000,
-0.00000000500,1.40000,
-0.00000000400,1.60000,
-0.00000000300,1.60000,
-0.00000000200,1.20000,
-0.00000000100,1.20000,
 0.00000000000,0.80000,
 0.00000000100,0.60000,
 0.00000000200,0.20000,
 0.00000000300,0.00,
 0.00000000400,-0.20000,
 0.00000000500,-0.40000,
 0.00000000600,-0.80000,
 0.00000000700,-0.80000,
 0.00000000800,-1.00000,
 0.00000000900,-1.20000,
 0.00000001000,-1.20000,
 0.00000001100,-1.60000,
 0.00000001200,-1.60000,
 0.00000001300,-1.80000,
 0.00000001400,-2.00000,
 0.00000001500,-2.40000,
 0.00000001600,-2.60000,
 0.00000001700,-2.60000,
 0.00000001800,-2.80000,
 0.00000001900,-3.00000,
 0.00000002000,-3.00000,
 0.00000002100,-3.40000,
 0.00000002200,-3.40000,
 0.00000002300,-3.60000,
 0.00000002400,-3.60000,
 0.00000002500,-4.00000,
 0.00000002600,-4.20000,
 0.00000002700,-4.20000,
 0.00000002800,-4.20000,
 0.00000002900,-4.40000,
 0.00000003000,-4.20000,
 0.00000003100,-4.40000,
 0.00000003200,-4.40000,
 0.00000003300,-4.80000,
 0.00000003400,-4.60000,
 0.00000003500,-4.80000,
 0.00000003600,-4.60000,
 0.00000003700,-4.80000,
 0.00000003800,-4.80000,
 0.00000003900,-4.80000,
 0.00000004000,-4.80000,
 0.00000004100,-5.00000,
 0.00000004200,-4.80000,
 0.00000004300,-5.00000,
 0.00000004400,-4.80000,
 0.00000004500,-5.00000,
 0.00000004600,-5.20000,
 0.00000004700,-4.80000,
 0.00000004800,-4.80000,
 0.00000004900,-5.00000,
 0.00000005000,-4.80000,
 0.00000005100,-5.00000,
 0.00000005200,-4.80000,
 0.00000005300,-5.00000,
 0.00000005400,-5.00000,
 0.00000005500,-5.00000,
 0.00000005600,-5.40000,
 0.00000005700,-5.00000,
 0.00000005800,-4.80000,
 0.00000005900,-5.00000,
 0.00000006000,-4.80000,
 0.00000006100,-5.00000,
 0.00000006200,-4.80000,
 0.00000006300,-5.20000,
 0.00000006400,-5.00000,
 0.00000006500,-5.20000,
 0.00000006600,-5.40000,
 0.00000006700,-5.00000,
 0.00000006800,-5.00000,
 0.00000006900,-5.00000,
 0.00000007000,-4.80000,
