Matavo anoniminis tinginys

Usd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,9.87148E-7,1.09452E-6,1.44680E-6,1.94619E-6,2.61157E-6,2.81467E-6,3.60844E-6
5.05051E-3,7.27155E-5,1.14874E-4,1.76315E-4,2.59720E-4,3.64826E-4,4.83733E-4,6.06731E-4
1.01010E-2,1.34190E-4,2.13113E-4,3.30215E-4,4.91869E-4,6.98497E-4,9.36281E-4,1.18588E-3
1.51515E-2,1.86505E-4,2.98093E-4,4.65621E-4,7.00463E-4,1.00691E-3,1.36482E-3,1.74338E-3
2.02020E-2,2.31123E-4,3.71334E-4,5.84211E-4,8.87170E-4,1.28890E-3,1.76720E-3,2.27811E-3
2.52525E-2,2.69040E-4,4.34314E-4,6.87777E-4,1.05457E-3,1.54632E-3,2.14325E-3,2.79036E-3
3.03030E-2,3.01282E-4,4.88486E-4,7.77950E-4,1.20207E-3,1.77990E-3,2.49422E-3,3.27973E-3
3.53535E-2,3.28712E-4,5.34857E-4,8.56337E-4,1.33275E-3,1.99123E-3,2.81968E-3,3.74521E-3
4.04040E-2,3.52011E-4,5.74667E-4,9.24414E-4,1.44772E-3,2.18154E-3,3.12024E-3,4.18667E-3
4.54545E-2,3.71866E-4,6.08770E-4,9.83419E-4,1.54879E-3,2.35257E-3,3.39747E-3,4.60439E-3
5.05051E-2,3.88773E-4,6.38066E-4,1.03553E-3,1.63773E-3,2.50550E-3,3.65150E-3,4.99770E-3
5.55556E-2,4.03207E-4,6.63334E-4,1.07995E-3,1.71589E-3,2.64190E-3,3.88353E-3,5.36750E-3
6.06061E-2,4.15574E-4,6.85022E-4,1.11836E-3,1.78420E-3,2.76322E-3,4.09521E-3,5.71285E-3
6.56566E-2,4.26241E-4,7.03793E-4,1.15173E-3,1.84427E-3,2.87181E-3,4.28738E-3,6.03426E-3
7.07071E-2,4.35479E-4,7.20217E-4,1.18106E-3,1.89723E-3,2.96810E-3,4.46189E-3,6.33415E-3
7.57576E-2,4.43426E-4,7.34388E-4,1.20677E-3,1.94395E-3,3.05464E-3,4.61942E-3,6.61257E-3
8.08081E-2,4.50372E-4,7.46921E-4,1.22929E-3,1.98525E-3,3.13103E-3,4.76264E-3,6.86920E-3
8.58586E-2,4.56501E-4,7.57843E-4,1.24918E-3,2.02210E-3,3.19912E-3,4.89162E-3,7.10633E-3
9.09091E-2,4.61843E-4,7.67538E-4,1.26701E-3,2.05463E-3,3.26046E-3,5.00848E-3,7.32524E-3
9.59596E-2,4.66544E-4,7.76161E-4,1.28279E-3,2.08385E-3,3.31599E-3,5.11420E-3,7.52567E-3
1.01010E-1,4.70798E-4,7.83860E-4,1.29692E-3,2.11023E-3,3.36607E-3,5.21037E-3,7.71007E-3
1.06061E-1,4.74605E-4,7.90733E-4,1.30974E-3,2.13424E-3,3.41121E-3,5.29770E-3,7.87894E-3
1.11111E-1,4.78052E-4,7.97080E-4,1.32131E-3,2.15564E-3,3.45211E-3,5.37694E-3,8.03508E-3
1.16162E-1,4.81266E-4,8.02829E-4,1.33192E-3,2.17554E-3,3.48963E-3,5.45009E-3,8.17892E-3
1.21212E-1,4.84159E-4,8.08105E-4,1.34183E-3,2.19392E-3,3.52405E-3,5.51682E-3,8.31057E-3
1.26263E-1,4.86818E-4,8.12954E-4,1.35078E-3,2.21082E-3,3.55631E-3,5.57831E-3,8.43261E-3
1.31313E-1,4.89268E-4,8.17527E-4,1.35926E-3,2.22656E-3,3.58559E-3,5.63497E-3,8.54505E-3
1.36364E-1,4.91601E-4,8.21808E-4,1.36696E-3,2.24109E-3,3.61325E-3,5.68681E-3,8.64983E-3
1.41414E-1,4.93697E-4,8.25722E-4,1.37446E-3,2.25477E-3,3.63872E-3,5.73582E-3,8.74588E-3
1.46465E-1,4.95689E-4,8.29493E-4,1.38127E-3,2.26753E-3,3.66306E-3,5.78158E-3,8.83646E-3
1.51515E-1,4.97662E-4,8.33016E-4,1.38786E-3,2.27979E-3,3.68559E-3,5.82546E-3,8.92111E-3
1.56566E-1,4.99487E-4,8.36393E-4,1.39412E-3,2.29140E-3,3.70670E-3,5.86596E-3,9.00011E-3
1.61616E-1,5.01253E-4,8.39566E-4,1.39987E-3,2.30223E-3,3.72707E-3,5.90485E-3,9.07400E-3
1.66667E-1,5.02953E-4,8.42771E-4,1.40558E-3,2.31274E-3,3.74682E-3,5.94189E-3,9.14532E-3
1.71717E-1,5.04569E-4,8.45784E-4,1.41121E-3,2.32282E-3,3.76567E-3,5.97612E-3,9.21126E-3
1.76768E-1,5.06057E-4,8.48629E-4,1.41645E-3,2.33262E-3,3.78291E-3,6.00837E-3,9.27375E-3
1.81818E-1,5.07592E-4,8.51397E-4,1.42159E-3,2.34218E-3,3.80088E-3,6.04040E-3,9.33372E-3
1.86869E-1,5.09014E-4,8.54037E-4,1.42651E-3,2.35131E-3,3.81678E-3,6.07134E-3,9.39044E-3
1.91919E-1,5.10477E-4,8.56698E-4,1.43133E-3,2.35973E-3,3.83316E-3,6.10130E-3,9.44548E-3
1.96970E-1,5.11823E-4,8.59217E-4,1.43600E-3,2.36833E-3,3.84847E-3,6.12980E-3,9.49839E-3
2.02020E-1,5.13115E-4,8.61630E-4,1.44040E-3,2.37634E-3,3.86348E-3,6.15724E-3,9.54880E-3
2.07071E-1,5.14407E-4,8.64091E-4,1.44494E-3,2.38412E-3,3.87833E-3,6.18363E-3,9.59660E-3
2.12121E-1,5.15634E-4,8.66375E-4,1.44924E-3,2.39172E-3,3.89208E-3,6.20928E-3,9.64449E-3
2.17172E-1,5.16920E-4,8.68680E-4,1.45318E-3,2.39971E-3,3.90589E-3,6.23368E-3,9.69030E-3
2.22222E-1,5.18054E-4,8.70893E-4,1.45732E-3,2.40714E-3,3.91906E-3,6.25805E-3,9.73394E-3
2.27273E-1,5.19222E-4,8.73048E-4,1.46130E-3,2.41419E-3,3.93221E-3,6.28139E-3,9.77610E-3
