Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,1.03557E-6,1.08114E-6,1.62494E-6,2.49086E-6,2.96973E-6,3.52464E-6,3.90152E-6
5.05051E-3,7.26019E-5,1.14679E-4,1.76239E-4,2.60282E-4,3.65125E-4,4.84588E-4,6.06754E-4
1.01010E-2,1.33941E-4,2.12819E-4,3.30008E-4,4.92033E-4,6.98359E-4,9.37063E-4,1.18594E-3
1.51515E-2,1.86233E-4,2.97678E-4,4.65053E-4,7.00353E-4,1.00683E-3,1.36591E-3,1.74334E-3
2.02020E-2,2.30766E-4,3.70841E-4,5.83456E-4,8.86700E-4,1.28862E-3,1.76810E-3,2.27791E-3
2.52525E-2,2.68619E-4,4.33745E-4,6.86756E-4,1.05386E-3,1.54565E-3,2.14420E-3,2.79023E-3
3.03030E-2,3.00817E-4,4.87787E-4,7.76737E-4,1.20114E-3,1.77917E-3,2.49424E-3,3.27902E-3
3.53535E-2,3.28158E-4,5.34179E-4,8.55070E-4,1.33135E-3,1.99018E-3,2.81930E-3,3.74422E-3
4.04040E-2,3.51458E-4,5.73952E-4,9.22832E-4,1.44602E-3,2.18020E-3,3.11988E-3,4.18578E-3
4.54545E-2,3.71320E-4,6.08094E-4,9.81651E-4,1.54721E-3,2.35089E-3,3.39648E-3,4.60339E-3
5.05051E-2,3.88207E-4,6.37324E-4,1.03379E-3,1.63582E-3,2.50356E-3,3.65039E-3,4.99639E-3
5.55556E-2,4.02636E-4,6.62469E-4,1.07803E-3,1.71361E-3,2.63974E-3,3.88235E-3,5.36532E-3
6.06061E-2,4.15025E-4,6.84182E-4,1.11638E-3,1.78197E-3,2.76096E-3,4.09325E-3,5.71035E-3
6.56566E-2,4.25637E-4,7.02937E-4,1.14994E-3,1.84208E-3,2.86906E-3,4.28516E-3,6.03205E-3
7.07071E-2,4.34873E-4,7.19281E-4,1.17914E-3,1.89465E-3,2.96566E-3,4.45901E-3,6.33133E-3
7.57576E-2,4.42883E-4,7.33467E-4,1.20496E-3,1.94149E-3,3.05134E-3,4.61617E-3,6.60886E-3
8.08081E-2,4.49815E-4,7.45883E-4,1.22734E-3,1.98295E-3,3.12818E-3,4.75875E-3,6.86532E-3
8.58586E-2,4.55913E-4,7.56830E-4,1.24730E-3,2.01960E-3,3.19711E-3,4.88736E-3,7.10259E-3
9.09091E-2,4.61272E-4,7.66505E-4,1.26482E-3,2.05218E-3,3.25834E-3,5.00411E-3,7.32074E-3
