Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A,A
 ,Usd=25.00E+0V
4.00000E+0,0.00000E+0
4.00859E+0,0.00000E+0
4.01717E+0,0.00000E+0
4.02576E+0,0.00000E+0
4.03434E+0,0.00000E+0
4.04293E+0,0.00000E+0
4.05152E+0,0.00000E+0
4.06010E+0,0.00000E+0
4.06869E+0,0.00000E+0
4.07727E+0,0.00000E+0
4.08586E+0,0.00000E+0
4.09444E+0,0.00000E+0
4.10303E+0,0.00000E+0
4.11162E+0,0.00000E+0
4.12020E+0,0.00000E+0
4.12879E+0,0.00000E+0
4.13737E+0,0.00000E+0
4.14596E+0,0.00000E+0
4.15455E+0,0.00000E+0
4.16313E+0,0.00000E+0
4.17172E+0,0.00000E+0
4.18030E+0,0.00000E+0
4.18889E+0,0.00000E+0
4.19747E+0,0.00000E+0
4.20606E+0,0.00000E+0
4.21465E+0,0.00000E+0
4.22323E+0,0.00000E+0
4.23182E+0,0.00000E+0
4.24040E+0,0.00000E+0
4.24899E+0,0.00000E+0
4.25758E+0,0.00000E+0
4.26616E+0,0.00000E+0
4.27475E+0,0.00000E+0
4.28333E+0,0.00000E+0
4.29192E+0,0.00000E+0
4.30051E+0,0.00000E+0
4.30909E+0,0.00000E+0
4.31768E+0,0.00000E+0
4.32626E+0,0.00000E+0
4.33485E+0,0.00000E+0
4.34343E+0,0.00000E+0
4.35202E+0,0.00000E+0
4.36061E+0,0.00000E+0
4.36919E+0,0.00000E+0
4.37778E+0,0.00000E+0
4.38636E+0,0.00000E+0
4.39495E+0,0.00000E+0
4.40354E+0,0.00000E+0
4.41212E+0,0.00000E+0
4.42071E+0,0.00000E+0
4.42929E+0,0.00000E+0
4.43788E+0,0.00000E+0
4.44646E+0,0.00000E+0
4.45505E+0,0.00000E+0
4.46364E+0,0.00000E+0
4.47222E+0,0.00000E+0
4.48081E+0,0.00000E+0
4.48939E+0,0.00000E+0
4.49798E+0,0.00000E+0
4.50657E+0,0.00000E+0
4.51515E+0,0.00000E+0
4.52374E+0,0.00000E+0
4.53232E+0,0.00000E+0
4.54091E+0,0.00000E+0
4.54949E+0,0.00000E+0
4.55808E+0,0.00000E+0
4.56667E+0,0.00000E+0
4.57525E+0,0.00000E+0
4.58384E+0,0.00000E+0
4.59242E+0,0.00000E+0
4.60101E+0,0.00000E+0
4.60960E+0,0.00000E+0
4.61818E+0,0.00000E+0
4.62677E+0,0.00000E+0
4.63535E+0,0.00000E+0
4.64394E+0,0.00000E+0
4.65253E+0,0.00000E+0
4.66111E+0,0.00000E+0
4.66970E+0,0.00000E+0
4.67828E+0,0.00000E+0
4.68687E+0,0.00000E+0
4.69545E+0,0.00000E+0
4.70404E+0,0.00000E+0
4.71263E+0,0.00000E+0
4.72121E+0,0.00000E+0
4.72980E+0,0.00000E+0
4.73838E+0,0.00000E+0
4.74697E+0,0.00000E+0
4.75556E+0,0.00000E+0
4.76414E+0,0.00000E+0
4.77273E+0,0.00000E+0
4.78131E+0,0.00000E+0
4.78990E+0,0.00000E+0
4.79848E+0,0.00000E+0
4.80707E+0,0.00000E+0
4.81566E+0,0.00000E+0
4.82424E+0,0.00000E+0
4.83283E+0,0.00000E+0
4.84141E+0,0.00000E+0
4.85000E+0,0.00000E+0
