Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=2.00E+0V,Usd=2.17E+0V,Usd=2.33E+0V,Usd=2.50E+0V,Usd=2.67E+0V,Usd=2.83E+0V,Usd=3.00E+0V
4.00000E+0,5.45678E-5,5.50379E-5,5.55676E-5,5.60418E-5,5.65647E-5,5.70371E-5,5.75154E-5
4.01010E+0,5.92265E-5,5.97717E-5,6.03458E-5,6.08610E-5,6.14273E-5,6.19436E-5,6.24567E-5
4.02020E+0,6.44271E-5,6.50354E-5,6.56599E-5,6.62142E-5,6.68337E-5,6.74098E-5,6.79579E-5
4.03030E+0,6.98963E-5,7.05714E-5,7.12524E-5,7.18578E-5,7.25135E-5,7.31469E-5,7.37504E-5
4.04040E+0,7.60277E-5,7.67605E-5,7.75076E-5,7.81675E-5,7.88807E-5,7.95842E-5,8.02207E-5
4.05051E+0,8.27020E-5,8.34960E-5,8.43189E-5,8.50406E-5,8.58248E-5,8.65733E-5,8.72809E-5
4.06061E+0,8.97038E-5,9.05737E-5,9.14759E-5,9.22553E-5,9.31126E-5,9.39303E-5,9.46866E-5
4.07071E+0,9.75711E-5,9.85308E-5,9.94969E-5,1.00357E-4,1.01271E-4,1.02183E-4,1.03006E-4
4.08081E+0,1.06094E-4,1.07150E-4,1.08201E-4,1.09149E-4,1.10133E-4,1.11139E-4,1.12022E-4
4.09091E+0,1.15093E-4,1.16248E-4,1.17394E-4,1.18429E-4,1.19502E-4,1.20583E-4,1.21542E-4
4.10101E+0,1.25159E-4,1.26422E-4,1.27672E-4,1.28800E-4,1.29967E-4,1.31128E-4,1.32193E-4
4.11111E+0,1.36114E-4,1.37504E-4,1.38861E-4,1.40089E-4,1.41362E-4,1.42614E-4,1.43782E-4
4.12121E+0,1.47635E-4,1.49154E-4,1.50606E-4,1.51961E-4,1.53344E-4,1.54709E-4,1.55959E-4
4.13131E+0,1.60543E-4,1.62233E-4,1.63809E-4,1.65290E-4,1.66783E-4,1.68288E-4,1.69631E-4
4.14141E+0,1.74568E-4,1.76385E-4,1.78132E-4,1.79744E-4,1.81383E-4,1.82994E-4,1.84481E-4
4.15152E+0,1.89332E-4,1.91255E-4,1.93216E-4,1.94965E-4,1.96754E-4,1.98486E-4,2.00086E-4
4.16162E+0,2.05891E-4,2.07956E-4,2.10080E-4,2.11993E-4,2.13952E-4,2.15842E-4,2.17565E-4
4.17172E+0,2.23825E-4,2.26093E-4,2.28403E-4,2.30515E-4,2.32615E-4,2.34679E-4,2.36559E-4
4.18182E+0,2.42731E-4,2.45203E-4,2.47669E-4,2.49976E-4,2.52252E-4,2.54511E-4,2.56503E-4
4.19192E+0,2.63867E-4,2.66598E-4,2.69299E-4,2.71766E-4,2.74277E-4,2.76690E-4,2.78954E-4
4.20202E+0,2.86824E-4,2.89783E-4,2.92742E-4,2.95466E-4,2.98200E-4,3.00846E-4,3.03246E-4
4.21212E+0,3.10986E-4,3.14252E-4,3.17420E-4,3.20408E-4,3.23361E-4,3.26176E-4,3.28860E-4
4.22222E+0,3.38037E-4,3.41574E-4,3.45019E-4,3.48254E-4,3.51454E-4,3.54577E-4,3.57466E-4
4.23232E+0,3.66426E-4,3.70222E-4,3.74079E-4,3.77555E-4,3.81083E-4,3.84343E-4,3.87559E-4
4.24242E+0,3.98199E-4,4.02366E-4,4.06519E-4,4.10333E-4,4.14165E-4,4.17693E-4,4.21274E-4
4.25253E+0,4.32699E-4,4.37220E-4,4.41775E-4,4.45879E-4,4.50021E-4,4.53954E-4,4.57807E-4
4.26263E+0,4.68956E-4,4.73821E-4,4.78694E-4,4.83243E-4,4.87677E-4,4.91975E-4,4.96180E-4
4.27273E+0,5.09491E-4,5.14873E-4,5.20114E-4,5.24998E-4,5.29920E-4,5.34563E-4,5.39082E-4
4.28283E+0,5.53461E-4,5.59241E-4,5.65007E-4,5.70395E-4,5.75675E-4,5.80744E-4,5.85696E-4
4.29293E+0,5.99669E-4,6.05934E-4,6.12158E-4,6.18057E-4,6.23870E-4,6.29314E-4,6.34651E-4
4.30303E+0,6.51292E-4,6.58001E-4,6.64880E-4,6.71261E-4,6.77510E-4,6.83487E-4,6.89243E-4
4.31313E+0,7.07237E-4,7.14521E-4,7.22092E-4,7.28921E-4,7.35732E-4,7.42203E-4,7.48583E-4
4.32323E+0,7.65787E-4,7.73703E-4,7.81927E-4,7.89509E-4,7.96791E-4,8.03805E-4,8.10620E-4
4.33333E+0,8.31242E-4,8.39811E-4,8.48750E-4,8.56829E-4,8.64909E-4,8.72573E-4,8.79972E-4
4.34343E+0,9.02270E-4,9.11452E-4,9.21187E-4,9.30086E-4,9.38856E-4,9.47154E-4,9.55200E-4
4.35354E+0,9.76590E-4,9.86736E-4,9.97201E-4,1.00763E-3,1.01719E-3,1.02597E-3,1.03488E-3
4.36364E+0,1.06044E-3,1.07149E-3,1.08273E-3,1.09332E-3,1.10371E-3,1.11351E-3,1.12298E-3
4.37374E+0,1.15057E-3,1.16258E-3,1.17494E-3,1.18652E-3,1.19751E-3,1.20806E-3,1.21843E-3
4.38384E+0,1.24461E-3,1.25769E-3,1.27118E-3,1.28340E-3,1.29551E-3,1.30703E-3,1.31799E-3
4.39394E+0,1.34969E-3,1.36396E-3,1.37845E-3,1.39169E-3,1.40471E-3,1.41734E-3,1.42933E-3
4.40404E+0,1.45943E-3,1.47487E-3,1.49041E-3,1.50508E-3,1.51914E-3,1.53280E-3,1.54574E-3
4.41414E+0,1.58223E-3,1.59896E-3,1.61589E-3,1.63164E-3,1.64690E-3,1.66181E-3,1.67554E-3
