Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=15.00E+0V
4.00000E+0,6.35636E-5
4.00808E+0,6.79546E-5
4.01616E+0,7.26266E-5
4.02424E+0,7.76057E-5
4.03232E+0,8.31235E-5
4.04040E+0,8.88123E-5
4.04848E+0,9.49004E-5
4.05657E+0,1.01663E-4
4.06465E+0,1.08622E-4
4.07273E+0,1.16064E-4
4.08081E+0,1.24350E-4
4.08889E+0,1.32878E-4
4.09697E+0,1.41948E-4
4.10505E+0,1.52072E-4
4.11313E+0,1.62493E-4
4.12121E+0,1.73608E-4
4.12929E+0,1.85974E-4
4.13737E+0,1.98685E-4
4.14545E+0,2.12275E-4
4.15354E+0,2.27391E-4
4.16162E+0,2.42935E-4
4.16970E+0,2.59477E-4
4.17778E+0,2.77907E-4
4.18586E+0,2.96873E-4
4.19394E+0,3.17077E-4
4.20202E+0,3.39530E-4
4.21010E+0,3.62692E-4
4.21818E+0,3.87303E-4
4.22626E+0,4.13625E-4
4.23434E+0,4.42883E-4
4.24242E+0,4.72884E-4
4.25051E+0,5.04919E-4
4.25859E+0,5.40449E-4
4.26667E+0,5.77018E-4
4.27475E+0,6.16010E-4
4.28283E+0,6.59352E-4
4.29091E+0,7.03816E-4
4.29899E+0,7.51065E-4
4.30707E+0,8.03696E-4
4.31515E+0,8.57562E-4
4.32323E+0,9.15036E-4
4.33131E+0,9.78691E-4
4.33939E+0,1.04492E-3
4.34747E+0,1.11451E-3
4.35556E+0,1.19173E-3
4.36364E+0,1.27048E-3
4.37172E+0,1.35464E-3
4.37980E+0,1.44771E-3
4.38788E+0,1.54303E-3
4.39596E+0,1.64475E-3
4.40404E+0,1.75245E-3
4.41212E+0,1.87238E-3
4.42020E+0,1.99462E-3
4.42828E+0,2.12481E-3
4.43636E+0,2.26837E-3
4.44444E+0,2.41555E-3
4.45253E+0,2.57189E-3
4.46061E+0,2.74454E-3
4.46869E+0,2.92097E-3
4.47677E+0,3.10758E-3
4.48485E+0,3.31384E-3
4.49293E+0,3.52367E-3
4.50101E+0,3.74742E-3
4.50909E+0,3.99344E-3
4.51717E+0,4.24464E-3
4.52525E+0,4.51082E-3
4.53333E+0,4.80438E-3
4.54141E+0,5.10265E-3
4.54949E+0,5.41841E-3
4.55758E+0,5.76553E-3
4.56566E+0,6.11902E-3
4.57374E+0,6.49273E-3
4.58182E+0,6.90328E-3
4.58990E+0,7.32131E-3
4.59798E+0,7.76174E-3
4.60606E+0,8.22610E-3
4.61414E+0,8.73803E-3
4.62222E+0,9.25543E-3
4.63030E+0,9.80078E-3
4.63838E+0,1.04009E-2
4.64646E+0,1.10055E-2
4.65455E+0,1.16394E-2
4.66263E+0,1.23355E-2
4.67071E+0,1.30402E-2
4.67879E+0,1.37800E-2
4.68687E+0,1.45893E-2
4.69495E+0,1.54061E-2
4.70303E+0,1.62626E-2
4.71111E+0,1.71968E-2
4.71919E+0,1.81407E-2
4.72727E+0,1.91277E-2
4.73535E+0,2.02102E-2
4.74343E+0,2.12941E-2
4.75152E+0,2.24260E-2
4.75960E+0,2.36587E-2
4.76768E+0,2.49015E-2
4.77576E+0,2.61935E-2
4.78384E+0,2.75463E-2
4.79192E+0,2.90110E-2
4.80000E+0,3.00027E-2
