Matavo anoniminis tinginys,,,,,,,
,,"4.47, 4.47, 4.54",,,,,
Usd,Isd,,,,,,
V,A,,,,,,
 ,Usg=4.40E+0V,Usg=4.47E+0V,Usg=4.54E+0V,Usg=4.62E+0V,Usg=4.69E+0V,Usg=4.76E+0V,Usg=4.83E+0V
0,1.60128E-06,0.000002153,2.9583E-06,3.35376E-06,3.80212E-06,1.98443E-06,0.000001993
0.0126263,0.000303426,0.000448564,0.000619889,0.000792869,2.08466E-06,2.66566E-06,2.49151E-06
0.0252525,0.000531923,0.000811219,0.00115807,0.00152171,0.00185254,0.00211627,0.00230069
0.0378788,0.000700012,0.00109768,0.00161493,0.00218362,0.00271244,0.00313422,0.0034269
0.0505051,0.000820988,0.00131606,0.00199206,0.00277412,0.00352325,0.00412337,0.00453628
0.0631313,0.000907178,0.00147957,0.00229541,0.00328961,0.00427945,0.00508043,0.00562752
0.0757576,0.000968686,0.00160064,0.00253399,0.0037297,0.00497606,0.0060011,0.00669912
0.0883838,0.00101438,0.00169068,0.0027195,0.00409832,0.00560928,0.0068841,0.00774977
0.10101,0.00104729,0.00175815,0.00286263,0.00440129,0.00617596,0.00772404,0.00877762
0.113636,0.00107274,0.00181001,0.002974,0.00464754,0.00667468,0.00851741,0.00977833
0.126263,0.00109282,0.00185091,0.00306255,0.00484646,0.00710792,0.0092614,0.0107548
0.138889,0.00110938,0.00188476,0.00313428,0.00500894,0.00747902,0.00995145,0.0117017
0.151515,0.00112336,0.00191303,0.003194,0.00514215,0.00779498,0.0105871,0.0126183
0.164141,0.00113558,0.00193743,0.00324464,0.00525412,0.00806315,0.0111649,0.0135011
0.176768,0.00114663,0.00195922,0.00328889,0.00535001,0.00829057,0.011686,0.0143508
0.189394,0.00115649,0.00197894,0.00332886,0.00543324,0.00848567,0.0121518,0.0151629
0.20202,0.00116567,0.00199697,0.003365,0.0055075,0.00865382,0.0125639,0.0159339
0.214646,0.00117424,0.00201379,0.00339779,0.00557434,0.00880246,0.0129316,0.0166655
0.227273,0.00118222,0.00202898,0.00342827,0.00563604,0.00893531,0.0132558,0.0173568
0.239899,0.00118988,0.0020438,0.00345665,0.00569271,0.00905491,0.0135429,0.018002
0.252525,0.00119703,0.00205763,0.0034838,0.00574564,0.00916465,0.0138002,0.0186015
0.265152,0.001204,0.00207055,0.00350922,0.00579538,0.00926533,0.0140311,0.0191566
0.277778,0.00121041,0.00208291,0.00353297,0.00584166,0.00935938,0.0142406,0.0196672
0.290404,0.00121674,0.00209488,0.00355579,0.00588573,0.00944726,0.0144328,0.0201352
0.30303,0.00122265,0.00210625,0.00357731,0.00592719,0.00952944,0.0146081,0.0205636
0.315657,0.0012284,0.00211701,0.00359822,0.005967,0.00960717,0.0147725,0.0209578
0.328283,0.0012339,0.00212742,0.00361755,0.00600503,0.0096813,0.0149246,0.0213196
0.340909,0.00123916,0.00213746,0.00363674,0.00604072,0.0097501,0.0150672,0.0216532
0.353535,0.00124411,0.00214708,0.00365487,0.00607472,0.00981617,0.0152019,0.0219609
0.366162,0.00124881,0.0021564,0.00367207,0.00610834,0.00987889,0.0153299,0.0222457
0.378788,0.00125353,0.00216535,0.00368858,0.00613944,0.00993904,0.0154506,0.0225115
0.391414,0.0012583,0.00217408,0.00370461,0.00616957,0.00999783,0.0155647,0.022761
0.40404,0.00126254,0.00218216,0.00372039,0.00619827,0.0100531,0.0156758,0.0229933
0.416667,0.00126685,0.00219021,0.00373548,0.00622608,0.0101061,0.0157809,0.0232145
0.429293,0.00127101,0.00219779,0.00374972,0.00625367,0.0101555,0.0158794,0.0234221
0.441919,0.00127499,0.00220539,0.00376368,0.00627916,0.0102053,0.0159763,0.0236237
0.454545,0.00127892,0.00221264,0.00377757,0.0063047,0.0102525,0.0160663,0.0238098
0.467172,0.00128267,0.00221953,0.00379058,0.00632863,0.0102969,0.0161547,0.0239892
0.479798,0.00128635,0.00222629,0.00380327,0.00635281,0.0103415,0.0162388,0.0241613
0.492424,0.00128985,0.00223301,0.00381608,0.00637482,0.0103828,0.0163203,0.024324
0.505051,0.00129325,0.00223974,0.00382802,0.00639745,0.0104238,0.0163968,0.0244799
0.517677,0.00129644,0.00224611,0.00383971,0.00641915,0.0104632,0.0164718,0.0246291
0.530303,0.00129974,0.00225219,0.00385113,0.00643981,0.0105016,0.0165427,0.0247737
0.542929,0.00130302,0.00225793,0.0038623,0.00645985,0.0105392,0.0166134,0.0249117
0.555556,0.00130604,0.00226364,0.00387279,0.00647968,0.0105748,0.0166801,0.0250483
0.568182,0.00130921,0.00226965,0.00388292,0.00649929,0.0106092,0.0167458,0.0251753
