Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=0.00E+0V,Usd=500.00E-3V,Usd=1.00E+0V,Usd=1.50E+0V,Usd=2.00E+0V,Usd=2.50E+0V,Usd=3.00E+0V
1.00000E+0,-1.25182E-7,4.80305E-6,4.28611E-6,4.12285E-6,4.06379E-6,4.03942E-6,4.02816E-6
9.79798E-1,-9.23700E-8,3.57155E-6,3.18367E-6,3.06114E-6,3.01676E-6,2.99823E-6,2.98963E-6
9.59596E-1,-6.99173E-8,2.65419E-6,2.36315E-6,2.27149E-6,2.23785E-6,2.22396E-6,2.21746E-6
9.39394E-1,-5.26278E-8,1.96864E-6,1.75032E-6,1.68250E-6,1.65735E-6,1.64692E-6,1.64195E-6
9.19192E-1,-3.96703E-8,1.45862E-6,1.29539E-6,1.24471E-6,1.22612E-6,1.21816E-6,1.21448E-6
8.98990E-1,-2.95795E-8,1.07943E-6,9.57743E-7,9.20209E-7,9.06223E-7,9.00360E-7,8.97690E-7
8.78788E-1,-2.20723E-8,7.97761E-7,7.07725E-7,6.79752E-7,6.69339E-7,6.64963E-7,6.62883E-7
8.58586E-1,-1.65499E-8,5.89626E-7,5.22720E-7,5.01854E-7,4.94109E-7,4.90821E-7,4.89323E-7
8.38384E-1,-1.23089E-8,4.35609E-7,3.85896E-7,3.70415E-7,3.64650E-7,3.62227E-7,3.61043E-7
8.18182E-1,-9.20147E-9,3.21745E-7,2.84828E-7,2.73265E-7,2.69018E-7,2.67218E-7,2.66371E-7
7.97980E-1,-6.83037E-9,2.37640E-7,2.10246E-7,2.01630E-7,1.98510E-7,1.97169E-7,1.96528E-7
7.77778E-1,-5.07431E-9,1.75534E-7,1.55159E-7,1.48772E-7,1.46445E-7,1.45440E-7,1.44970E-7
7.57576E-1,-3.74849E-9,1.29646E-7,1.14549E-7,1.09807E-7,1.08094E-7,1.07336E-7,1.06991E-7
7.37374E-1,-2.81010E-9,9.56550E-8,8.46526E-8,8.11686E-8,7.98948E-8,7.93386E-8,7.90796E-8
7.17172E-1,-2.07316E-9,7.08159E-8,6.26450E-8,6.00521E-8,5.91056E-8,5.86981E-8,5.84942E-8
6.96970E-1,-1.56109E-9,5.23798E-8,4.63092E-8,4.43857E-8,4.36809E-8,4.33766E-8,4.32256E-8
6.76768E-1,-1.15116E-9,3.87755E-8,3.42735E-8,3.28398E-8,3.23170E-8,3.20943E-8,3.19808E-8
6.56566E-1,-8.73530E-10,2.87162E-8,2.53697E-8,2.43070E-8,2.39143E-8,2.37475E-8,2.36647E-8
6.36364E-1,-6.61683E-10,2.12761E-8,1.87933E-8,1.80010E-8,1.77107E-8,1.75882E-8,1.75254E-8
6.16162E-1,-5.17488E-10,1.57799E-8,1.39330E-8,1.33444E-8,1.31286E-8,1.30368E-8,1.29909E-8
5.95960E-1,-4.15754E-10,1.17110E-8,1.03379E-8,9.90077E-9,9.74029E-9,9.67262E-9,9.63907E-9
5.75758E-1,-3.41141E-10,8.70029E-9,7.67847E-9,7.35234E-9,7.23424E-9,7.18359E-9,7.15801E-9
5.55556E-1,-2.83301E-10,6.46964E-9,5.70904E-9,5.46626E-9,5.37956E-9,5.34186E-9,5.32271E-9
5.35354E-1,-2.34902E-10,4.81610E-9,4.24993E-9,4.06882E-9,4.00420E-9,3.97706E-9,3.95383E-9
5.15152E-1,-1.93357E-10,3.58913E-9,3.16677E-9,3.03253E-9,2.98516E-9,2.96484E-9,2.95488E-9
4.94949E-1,-1.57750E-10,2.67893E-9,2.36386E-9,2.26394E-9,2.22913E-9,2.21483E-9,2.20695E-9
4.74747E-1,-1.27149E-10,2.03010E-9,1.76823E-9,1.69402E-9,1.66912E-9,1.65895E-9,1.65294E-9
4.54545E-1,-1.01686E-10,1.40479E-9,1.32734E-9,1.27189E-9,1.25390E-9,1.24630E-9,1.24241E-9
4.34343E-1,-8.07047E-11,1.13219E-9,1.00083E-9,9.59921E-10,9.47416E-10,9.41598E-10,9.38857E-10
