Usg (V),Isd (I)
4,5.62853E-05
4.00838,6.02712E-05
4.01677,6.45027E-05
4.02515,6.90276E-05
4.03354,0.000074043
4.04192,7.92309E-05
4.0503,8.47827E-05
4.05869,9.07067E-05
4.06707,9.73002E-05
4.07545,0.000104105
4.08384,0.000111402
4.09222,0.000119178
4.10061,0.000127837
4.10899,0.000136767
4.11737,0.000146328
4.12576,0.000156972
4.13414,0.000167935
4.14253,0.000179654
4.15091,0.000192189
4.15929,0.000206104
4.16768,0.000220472
4.17606,0.000235822
4.18444,0.00025226
4.19283,0.000270513
4.20121,0.000289351
4.2096,0.000309506
4.21798,0.000331873
4.22636,0.000354916
4.23475,0.000379536
4.24313,0.000405822
4.25152,0.000435063
4.2599,0.000465189
4.26828,0.000497377
4.27667,0.000531634
4.28505,0.000569753
4.29343,0.000609072
4.30182,0.000650974
4.3102,0.00069572
4.31859,0.00074536
4.32697,0.000796389
4.33535,0.000850833
4.34374,0.00091118
4.35212,0.000973362
4.36051,0.00104041
4.36889,0.00111103
4.37727,0.00118931
4.38566,0.0012697
4.39404,0.00135549
4.40242,0.00144667
4.41081,0.00154779
4.41919,0.00165149
4.42758,0.00176182
4.43596,0.00188397
4.44434,0.00200934
4.45273,0.00214241
4.46111,0.00228367
4.46949,0.00243992
4.47788,0.00260011
4.48626,0.00277
4.49465,0.00294973
4.50303,0.00314912
4.51141,0.00335284
4.5198,0.00356889
4.52818,0.00379741
4.53657,0.00404987
4.54495,0.00430718
4.55333,0.00457934
4.56172,0.00487984
4.5701,0.00518613
4.57848,0.00550867
4.58687,0.00585097
4.59525,0.00622671
4.60364,0.00660936
4.61202,0.00701347
4.6204,0.00743935
4.62879,0.00790734
4.63717,0.00838157
4.64556,0.00888119
4.65394,0.00940461
4.66232,0.00998121
4.67071,0.0105619
4.67909,0.0111758
4.68747,0.0118445
4.69586,0.012522
4.70424,0.0132306
4.71263,0.0139747
4.72101,0.0147844
4.72939,0.0156004
4.73778,0.0164598
4.74616,0.0173524
4.75455,0.0183222
4.76293,0.0192985
4.77131,0.0203178
4.7797,0.0214237
4.78808,0.0225301
4.79646,0.0236854
4.80485,0.0248805
4.81323,0.0261738
4.82162,0.0274628
4.83,0.0288064
