x	 T=35 I, (uA)	xx	 T=55 I, (uA)	xxx	T=80 I, (uA)
0.036	0	0.33	0	0.37	0.16
0.514	1.12	0.568	2.2	0.536	5.14
0.9	2.18	0.954	3.94	0.69	6.84
1.345	3	1.844	6.12	0.782	7
2.48	4.02	2.56	6.82	0.988	8.76
4.37	5	3.26	7.26	1.326	11.76
6.77	6.04	3.86	7.5	1.631	13.32
8.2	7.06	4.86	7.96	2.52	15.26
9.35	8.06	5.62	8.26	3.86	16.9
9.87	9.26	7.03	9.02	4.97	17.98
9.89	17.27	8.09	9.78	5.75	18.76
9.9	56.21	8.32	10.04	6.61	19.76
9.91	126.55	9.64	11.48	6.92	20.15
9.93	207.21	9.98	38.65	8.06	21.95
9.95	287.43	10.01	217	9.2	24.32
9.96	324.86	10.08	574.4	9.99	26.98
9.98	450.7	10.1	941.5	10.19	81.22
10.03	1294.7	10.15	1967	10.24	254.31
10.06	2042.1			10.31	637.5
				10.33	991
				10.36	1606.2
				10.38	1772.7
