x	 T=35 I, (uA)	xx	 T=55 I, (uA)	xxx	T=80 I, (uA)
0.036	0	0.036	0	0.37	0.16
0.514	1.12	0.514	1.12	0.536	5.14
0.9	2.18	0.9	2.18	0.69	6.84
1.345	3	1.345	3	0.782	7
2.48	4.02	2.48	4.02	0.988	8.76
4.37	5	4.37	5	1.177	1.12
6.77	6.04	6.77	6.04	1.326	11.76
8.2	7.06	8.2	7.06	1.631	13.32
9.35	8.06	9.35	8.06	2.52	15.26
9.87	9.26	9.87	9.26	3.86	16.9
9.89	17.27	9.89	17.27	4.7	4.64
9.9	56.21	9.9	56.21	4.97	17.98
9.91	126.55	9.91	126.55	5.75	18.76
9.93	207.21	9.93	207.21	6.61	19.76
9.95	287.43	9.95	287.43	6.92	20.15
9.96	324.86	9.96	324.86	8.06	21.95
9.98	450.7	9.98	450.7	9.2	24.32
10.03	1294.7	10.03	1294.7	9.99	26.98
10.06	2042.1	10.06	2042.1	10.19	81.22
				10.24	254.31
				10.31	637.5
				10.33	991
				10.36	1606.2
				10.38	1772.7
