x	I_SD 1	I_SD 2	I_SD 3	I_SD 4	I_SD 5	I_SD 6
0	1.21e-07	3.51e-07	9.28e-07	2.16e-06	4.39e-06	7.61e-06
0.00101	2.88e-07	8.46e-07	2.23e-06	5.19e-06	1.06e-05	1.88e-05
0.00201	4.57e-07	1.33e-06	3.49e-06	8.15e-06	1.67e-05	2.97e-05
0.00302	6.19e-07	1.79e-06	4.73e-06	1.11e-05	2.27e-05	4.04e-05
0.00402	7.73e-07	2.24e-06	5.93e-06	1.39e-05	2.85e-05	5.1e-05
0.00503	9.24e-07	2.68e-06	7.1e-06	1.67e-05	3.42e-05	6.14e-05
0.00603	1.07e-06	3.11e-06	8.24e-06	1.94e-05	3.98e-05	7.16e-05
0.00704	1.21e-06	3.52e-06	9.35e-06	2.21e-05	4.54e-05	8.17e-05
0.00804	1.35e-06	3.92e-06	1.04e-05	2.46e-05	5.08e-05	9.16e-05
0.00905	1.48e-06	4.31e-06	1.15e-05	2.72e-05	5.61e-05	0.000101
0.0101	1.6e-06	4.69e-06	1.25e-05	2.97e-05	6.14e-05	0.000111
0.0111	1.73e-06	5.05e-06	1.35e-05	3.21e-05	6.65e-05	0.000121
0.0121	1.84e-06	5.4e-06	1.45e-05	3.44e-05	7.15e-05	0.00013
0.0131	1.96e-06	5.74e-06	1.54e-05	3.67e-05	7.65e-05	0.000139
0.0141	2.07e-06	6.08e-06	1.63e-05	3.9e-05	8.13e-05	0.000148
0.0151	2.18e-06	6.4e-06	1.72e-05	4.12e-05	8.61e-05	0.000157
0.0161	2.28e-06	6.71e-06	1.81e-05	4.33e-05	9.07e-05	0.000166
0.0171	2.38e-06	7.01e-06	1.89e-05	4.54e-05	9.53e-05	0.000175
0.0181	2.48e-06	7.3e-06	1.97e-05	4.75e-05	9.98e-05	0.000183
0.0191	2.57e-06	7.59e-06	2.05e-05	4.95e-05	0.000104	0.000192
0.0201	2.66e-06	7.86e-06	2.13e-05	5.14e-05	0.000109	0.0002
0.0211	2.75e-06	8.12e-06	2.21e-05	5.33e-05	0.000113	0.000208
0.0221	2.83e-06	8.38e-06	2.28e-05	5.52e-05	0.000117	0.000216
0.0231	2.92e-06	8.63e-06	2.35e-05	5.7e-05	0.000121	0.000224
0.0241	2.99e-06	8.87e-06	2.42e-05	5.88e-05	0.000125	0.000232
0.0251	3.07e-06	9.11e-06	2.49e-05	6.05e-05	0.000129	0.00024
0.0261	3.14e-06	9.33e-06	2.55e-05	6.22e-05	0.000133	0.000247
0.0271	3.22e-06	9.55e-06	2.61e-05	6.39e-05	0.000136	0.000255
0.0281	3.28e-06	9.77e-06	2.68e-05	6.55e-05	0.00014	0.000262
0.0291	3.35e-06	9.97e-06	2.74e-05	6.7e-05	0.000144	0.000269
0.0302	3.41e-06	1.02e-05	2.79e-05	6.85e-05	0.000147	0.000276
0.0312	3.48e-06	1.04e-05	2.85e-05	7e-05	0.000151	0.000283
0.0322	3.54e-06	1.06e-05	2.9e-05	7.15e-05	0.000154	0.00029
0.0332	3.59e-06	1.07e-05	2.96e-05	7.29e-05	0.000157	0.000297
0.0342	3.65e-06	1.09e-05	3.01e-05	7.43e-05	0.000161	0.000303
0.0352	3.7e-06	1.11e-05	3.06e-05	7.56e-05	0.000164	0.00031
0.0362	3.76e-06	1.12e-05	3.11e-05	7.7e-05	0.000167	0.000316
0.0372	3.81e-06	1.14e-05	3.16e-05	7.82e-05	0.00017	0.000323
0.0382	3.86e-06	1.16e-05	3.2e-05	7.95e-05	0.000173	0.000329
0.0392	3.9e-06	1.17e-05	3.25e-05	8.07e-05	0.000176	0.000335
0.0402	3.95e-06	1.18e-05	3.29e-05	8.19e-05	0.000179	0.000341
0.0412	3.99e-06	1.2e-05	3.33e-05	8.3e-05	0.000182	0.000347
0.0422	4.03e-06	1.21e-05	3.37e-05	8.42e-05	0.000184	0.000353
0.0432	4.07e-06	1.23e-05	3.41e-05	8.53e-05	0.000187	0.000358
0.0442	4.11e-06	1.24e-05	3.45e-05	8.63e-05	0.00019	0.000364
0.0452	4.15e-06	1.25e-05	3.49e-05	8.74e-05	0.000192	0.000369
0.0462	4.19e-06	1.26e-05	3.52e-05	8.84e-05	0.000195	0.000375
0.0472	4.22e-06	1.27e-05	3.56e-05	8.94e-05	0.000197	0.00038
0.0482	4.26e-06	1.28e-05	3.59e-05	9.03e-05	0.0002	0.000385
0.0492	4.29e-06	1.3e-05	3.62e-05	9.13e-05	0.000202	0.000391
0.0503	4.32e-06	1.31e-05	3.66e-05	9.22e-05	0.000204	0.000396
0.0513	4.36e-06	1.32e-05	3.69e-05	9.31e-05	0.000207	0.000401
0.0523	4.38e-06	1.33e-05	3.72e-05	9.39e-05	0.000209	0.000405
0.0533	4.41e-06	1.33e-05	3.75e-05	9.48e-05	0.000211	0.00041
0.0543	4.44e-06	1.34e-05	3.78e-05	9.56e-05	0.000213	0.000415
0.0553	4.47e-06	1.35e-05	3.8e-05	9.64e-05	0.000215	0.000419
0.0563	4.49e-06	1.36e-05	3.83e-05	9.72e-05	0.000217	0.000424
0.0573	4.52e-06	1.37e-05	3.86e-05	9.79e-05	0.000219	0.000428
0.0583	4.54e-06	1.38e-05	3.88e-05	9.87e-05	0.000221	0.000433
0.0593	4.57e-06	1.38e-05	3.9e-05	9.94e-05	0.000223	0.000437
0.0603	4.59e-06	1.39e-05	3.93e-05	0.0001	0.000225	0.000441
0.0613	4.61e-06	1.4e-05	3.95e-05	0.000101	0.000227	0.000445
0.0623	4.63e-06	1.41e-05	3.97e-05	0.000101	0.000228	0.000449
0.0633	4.65e-06	1.41e-05	3.99e-05	0.000102	0.00023	0.000453
0.0643	4.67e-06	1.42e-05	4.02e-05	0.000103	0.000232	0.000457
0.0653	4.69e-06	1.43e-05	4.04e-05	0.000103	0.000233	0.000461
0.0663	4.71e-06	1.43e-05	4.06e-05	0.000104	0.000235	0.000465
0.0673	4.73e-06	1.44e-05	4.07e-05	0.000104	0.000237	0.000469
0.0683	4.74e-06	1.44e-05	4.09e-05	0.000105	0.000238	0.000472
0.0693	4.76e-06	1.45e-05	4.11e-05	0.000106	0.00024	0.000476
0.0704	4.77e-06	1.45e-05	4.13e-05	0.000106	0.000241	0.000479
0.0714	4.79e-06	1.46e-05	4.14e-05	0.000107	0.000242	0.000483
0.0724	4.8e-06	1.46e-05	4.16e-05	0.000107	0.000244	0.000486
0.0734	4.82e-06	1.47e-05	4.18e-05	0.000108	0.000245	0.000489
0.0744	4.83e-06	1.47e-05	4.19e-05	0.000108	0.000246	0.000492
0.0754	4.85e-06	1.48e-05	4.21e-05	0.000109	0.000248	0.000496
0.0764	4.86e-06	1.48e-05	4.22e-05	0.000109	0.000249	0.000499
0.0774	4.87e-06	1.49e-05	4.23e-05	0.000109	0.00025	0.000502
0.0784	4.88e-06	1.49e-05	4.25e-05	0.00011	0.000251	0.000505
0.0794	4.89e-06	1.49e-05	4.26e-05	0.00011	0.000253	0.000508
0.0804	4.91e-06	1.5e-05	4.27e-05	0.000111	0.000254	0.000511
0.0814	4.92e-06	1.5e-05	4.29e-05	0.000111	0.000255	0.000513
0.0824	4.93e-06	1.51e-05	4.3e-05	0.000111	0.000256	0.000516
0.0834	4.94e-06	1.51e-05	4.31e-05	0.000112	0.000257	0.000519
0.0844	4.95e-06	1.51e-05	4.32e-05	0.000112	0.000258	0.000521
0.0854	4.96e-06	1.52e-05	4.33e-05	0.000112	0.000259	0.000524
0.0864	4.96e-06	1.52e-05	4.34e-05	0.000113	0.00026	0.000527
