x	I_SD	I_SD 2	I_SD 3	I_SD 4	I_SD 5	I_SD 6
0	2.04e-09	-3.57e-08	-2.61e-08	1.77e-08	3.73e-08	7.86e-08
0.00402	5.47e-09	9.91e-09	2.23e-08	4.62e-08	9.72e-08	2.41e-07
0.00804	9.44e-09	1.89e-08	3.85e-08	7.96e-08	1.79e-07	3.86e-07
0.0121	1.27e-08	2.55e-08	5.22e-08	1.14e-07	2.4e-07	5.07e-07
0.0161	1.55e-08	3.13e-08	6.39e-08	1.38e-07	2.89e-07	6.12e-07
0.0201	1.79e-08	3.61e-08	7.39e-08	1.58e-07	3.31e-07	7.02e-07
0.0241	2e-08	4.03e-08	8.25e-08	1.75e-07	3.68e-07	7.79e-07
0.0281	2.17e-08	4.39e-08	8.99e-08	1.9e-07	3.99e-07	8.45e-07
0.0322	2.33e-08	4.7e-08	9.62e-08	2.02e-07	4.26e-07	9.02e-07
0.0362	2.46e-08	4.96e-08	1.03e-07	2.13e-07	4.49e-07	9.51e-07
0.0402	2.57e-08	5.19e-08	1.07e-07	2.23e-07	4.69e-07	9.93e-07
0.0442	2.66e-08	5.38e-08	1.11e-07	2.31e-07	4.86e-07	1.03e-06
0.0482	2.74e-08	5.55e-08	1.14e-07	2.38e-07	5e-07	1.06e-06
0.0523	2.81e-08	5.69e-08	1.17e-07	2.44e-07	5.13e-07	1.09e-06
0.0563	2.87e-08	5.82e-08	1.2e-07	2.49e-07	5.24e-07	1.11e-06
0.0603	2.92e-08	5.92e-08	1.22e-07	2.53e-07	5.33e-07	1.13e-06
0.0643	2.97e-08	6.01e-08	1.24e-07	2.57e-07	5.41e-07	1.15e-06
0.0683	3.01e-08	6.09e-08	1.25e-07	2.6e-07	5.48e-07	1.16e-06
0.0724	3.04e-08	6.16e-08	1.27e-07	2.63e-07	5.54e-07	1.18e-06
0.0764	3.07e-08	6.22e-08	1.28e-07	2.66e-07	5.59e-07	1.19e-06
0.0804	3.09e-08	6.26e-08	1.29e-07	2.68e-07	5.64e-07	1.2e-06
0.0844	3.11e-08	6.31e-08	1.3e-07	2.69e-07	5.68e-07	1.21e-06
0.0884	3.13e-08	6.35e-08	1.3e-07	2.71e-07	5.71e-07	1.21e-06
0.0925	3.15e-08	6.38e-08	1.31e-07	2.72e-07	5.74e-07	1.22e-06
0.0965	3.16e-08	6.41e-08	1.31e-07	2.74e-07	5.77e-07	1.23e-06
0.101	3.17e-08	6.43e-08	1.32e-07	2.75e-07	5.79e-07	1.23e-06
0.105	3.18e-08	6.45e-08	1.32e-07	2.76e-07	5.81e-07	1.24e-06
0.109	3.19e-08	6.47e-08	1.33e-07	2.77e-07	5.83e-07	1.24e-06
0.113	3.2e-08	6.49e-08	1.33e-07	2.77e-07	5.85e-07	1.24e-06
0.117	3.21e-08	6.5e-08	1.33e-07	2.78e-07	5.86e-07	1.25e-06
0.121	3.21e-08	6.51e-08	1.34e-07	2.79e-07	5.88e-07	1.25e-06
0.125	3.22e-08	6.52e-08	1.34e-07	2.79e-07	5.89e-07	1.25e-06
0.129	3.22e-08	6.53e-08	1.34e-07	2.79e-07	5.9e-07	1.25e-06
0.133	3.23e-08	6.54e-08	1.34e-07	2.8e-07	5.91e-07	1.26e-06
0.137	3.23e-08	6.55e-08	1.35e-07	2.8e-07	5.92e-07	1.26e-06
0.141	3.23e-08	6.56e-08	1.35e-07	2.81e-07	5.92e-07	1.26e-06
0.145	3.24e-08	6.56e-08	1.35e-07	2.81e-07	5.93e-07	1.26e-06
0.149	3.24e-08	6.57e-08	1.35e-07	2.81e-07	5.94e-07	1.26e-06
0.153	3.24e-08	6.57e-08	1.35e-07	2.81e-07	5.94e-07	1.26e-06
0.157	3.24e-08	6.58e-08	1.35e-07	2.82e-07	5.95e-07	1.27e-06
0.161	3.25e-08	6.58e-08	1.35e-07	2.82e-07	5.95e-07	1.27e-06
0.165	3.25e-08	6.59e-08	1.35e-07	2.82e-07	5.96e-07	1.27e-06
0.169	3.25e-08	6.59e-08	1.35e-07	2.82e-07	5.96e-07	1.27e-06
0.173	3.25e-08	6.6e-08	1.36e-07	2.83e-07	5.97e-07	1.27e-06
0.177	3.25e-08	6.6e-08	1.36e-07	2.83e-07	5.97e-07	1.27e-06
0.181	3.25e-08	6.6e-08	1.36e-07	2.83e-07	5.98e-07	1.27e-06
0.185	3.25e-08	6.61e-08	1.36e-07	2.83e-07	5.98e-07	1.27e-06
0.189	3.26e-08	6.61e-08	1.36e-07	2.83e-07	5.98e-07	1.27e-06
0.193	3.26e-08	6.61e-08	1.36e-07	2.83e-07	5.99e-07	1.28e-06
0.197	3.26e-08	6.62e-08	1.36e-07	2.83e-07	5.99e-07	1.28e-06
0.201	3.26e-08	6.62e-08	1.36e-07	2.84e-07	6e-07	1.28e-06
0.205	3.26e-08	6.62e-08	1.36e-07	2.84e-07	6e-07	1.28e-06
0.209	3.26e-08	6.62e-08	1.36e-07	2.84e-07	6e-07	1.28e-06
0.213	3.26e-08	6.62e-08	1.36e-07	2.84e-07	6.01e-07	1.28e-06
0.217	3.26e-08	6.63e-08	1.36e-07	2.84e-07	6.01e-07	1.28e-06
0.221	3.26e-08	6.63e-08	1.36e-07	2.84e-07	6.01e-07	1.28e-06
0.225	3.26e-08	6.63e-08	1.36e-07	2.84e-07	6.02e-07	1.28e-06
0.229	3.26e-08	6.63e-08	1.36e-07	2.85e-07	6.02e-07	1.28e-06
0.233	3.27e-08	6.63e-08	1.36e-07	2.85e-07	6.02e-07	1.28e-06
0.237	3.27e-08	6.64e-08	1.36e-07	2.85e-07	6.02e-07	1.28e-06
0.241	3.27e-08	6.64e-08	1.37e-07	2.85e-07	6.03e-07	1.28e-06
0.245	3.27e-08	6.64e-08	1.37e-07	2.85e-07	6.03e-07	1.29e-06
0.249	3.27e-08	6.64e-08	1.37e-07	2.85e-07	6.03e-07	1.29e-06
0.253	3.27e-08	6.64e-08	1.37e-07	2.85e-07	6.03e-07	1.29e-06
0.257	3.27e-08	6.64e-08	1.37e-07	2.85e-07	6.04e-07	1.29e-06
0.261	3.27e-08	6.65e-08	1.37e-07	2.85e-07	6.04e-07	1.29e-06
0.265	3.27e-08	6.65e-08	1.37e-07	2.86e-07	6.04e-07	1.29e-06
0.269	3.27e-08	6.65e-08	1.37e-07	2.86e-07	6.04e-07	1.29e-06
0.273	3.27e-08	6.65e-08	1.37e-07	2.86e-07	6.05e-07	1.29e-06
0.277	3.27e-08	6.65e-08	1.37e-07	2.86e-07	6.05e-07	1.29e-06
0.281	3.27e-08	6.66e-08	1.37e-07	2.86e-07	6.05e-07	1.29e-06
0.285	3.28e-08	6.66e-08	1.37e-07	2.86e-07	6.05e-07	1.29e-06
0.289	3.28e-08	6.66e-08	1.37e-07	2.86e-07	6.06e-07	1.29e-06
0.293	3.28e-08	6.66e-08	1.37e-07	2.86e-07	6.06e-07	1.29e-06
0.297	3.28e-08	6.66e-08	1.37e-07	2.86e-07	6.06e-07	1.29e-06
0.302	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.07e-07	1.29e-06
0.306	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.07e-07	1.3e-06
0.31	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.07e-07	1.3e-06
0.314	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.07e-07	1.3e-06
0.318	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.07e-07	1.3e-06
0.322	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.08e-07	1.3e-06
0.326	3.28e-08	6.67e-08	1.37e-07	2.87e-07	6.08e-07	1.3e-06
0.33	3.28e-08	6.68e-08	1.38e-07	2.87e-07	6.08e-07	1.3e-06
0.334	3.28e-08	6.68e-08	1.38e-07	2.87e-07	6.08e-07	1.3e-06
