x	U_G
10	1.92e-08
9.59	1.72e-08
9.18	1.52e-08
8.78	1.32e-08
8.37	1.12e-08
7.96	9.65e-09
7.55	8.2e-09
7.14	6.97e-09
6.73	5.73e-09
6.33	4.73e-09
5.92	3.87e-09
5.51	3.13e-09
5.1	2.53e-09
4.69	1.98e-09
4.29	1.54e-09
3.88	1.18e-09
3.47	8.78e-10
3.06	6.6e-10
2.65	4.65e-10
2.24	3.22e-10
1.84	2.03e-10
1.43	1.25e-10
1.02	7.24e-11
0.612	2.12e-11
0.204	7.29e-12
-0.204	-4.23e-12
-0.612	-1.38e-11
-1.02	-2.06e-11
-1.43	-2.58e-11
-1.84	-3.29e-11
-2.24	-3.75e-11
-2.65	-4.36e-11
-3.06	-4.97e-11
-3.47	-5.35e-11
-3.88	-5.68e-11
-4.29	-6.05e-11
-4.69	-6.36e-11
-5.1	-6.71e-11
-5.51	-6.9e-11
-5.92	-7.23e-11
-6.33	-7.53e-11
-6.73	-7.77e-11
-7.14	-8.01e-11
-7.55	-8.24e-11
-7.96	-8.48e-11
-8.37	-8.65e-11
-8.78	-8.87e-11
-9.18	-9.53e-11
-9.59	-9.72e-11
-10	-9.92e-11
