x	Usd=5 V	Usd=4.12 V	Usd=3.25 V	Usd=2.37 V	Usd=1.5 V
3	3.37e-08	3.43e-08	3.47e-08	3.51e-08	3.53e-08
3.01	3.5e-08	3.55e-08	3.6e-08	3.64e-08	3.66e-08
3.01	3.63e-08	3.68e-08	3.74e-08	3.77e-08	3.8e-08
3.02	3.76e-08	3.82e-08	3.88e-08	3.91e-08	3.94e-08
3.02	3.89e-08	3.95e-08	4.01e-08	4.05e-08	4.08e-08
3.03	4.04e-08	4.1e-08	4.16e-08	4.2e-08	4.23e-08
3.03	4.19e-08	4.25e-08	4.32e-08	4.36e-08	4.39e-08
3.04	4.33e-08	4.4e-08	4.47e-08	4.51e-08	4.54e-08
3.04	4.49e-08	4.57e-08	4.63e-08	4.68e-08	4.71e-08
3.05	4.66e-08	4.74e-08	4.81e-08	4.85e-08	4.89e-08
3.05	4.83e-08	4.91e-08	4.99e-08	5.04e-08	5.07e-08
3.06	5e-08	5.09e-08	5.16e-08	5.21e-08	5.25e-08
3.06	5.19e-08	5.28e-08	5.36e-08	5.41e-08	5.45e-08
3.07	5.39e-08	5.48e-08	5.56e-08	5.61e-08	5.66e-08
3.07	5.59e-08	5.68e-08	5.77e-08	5.83e-08	5.87e-08
3.08	5.78e-08	5.88e-08	5.97e-08	6.03e-08	6.08e-08
3.08	6e-08	6.1e-08	6.2e-08	6.26e-08	6.31e-08
3.09	6.23e-08	6.33e-08	6.43e-08	6.5e-08	6.55e-08
3.09	6.46e-08	6.57e-08	6.67e-08	6.74e-08	6.79e-08
3.1	6.69e-08	6.8e-08	6.91e-08	6.98e-08	7.04e-08
3.1	6.94e-08	7.06e-08	7.17e-08	7.24e-08	7.3e-08
3.11	7.2e-08	7.33e-08	7.44e-08	7.52e-08	7.58e-08
3.11	7.47e-08	7.61e-08	7.72e-08	7.8e-08	7.87e-08
3.12	7.74e-08	7.88e-08	8e-08	8.08e-08	8.15e-08
3.12	8.03e-08	8.18e-08	8.3e-08	8.39e-08	8.46e-08
3.13	8.34e-08	8.49e-08	8.62e-08	8.71e-08	8.78e-08
3.13	8.65e-08	8.81e-08	8.95e-08	9.04e-08	9.11e-08
3.14	8.96e-08	9.12e-08	9.27e-08	9.36e-08	9.44e-08
3.14	9.3e-08	9.47e-08	9.62e-08	9.72e-08	9.8e-08
3.15	9.65e-08	9.83e-08	9.99e-08	1.01e-07	1.02e-07
3.15	1e-07	1.01e-07	1.03e-07	1.05e-07	1.06e-07
