x	6th_plot_fit	derrived_plot
3	5.91319E-08	2.02417E-07
3.01	6.12403E-08	2.19482E-07
3.01	6.12403E-08	2.19482E-07
3.02	6.35263E-08	0.000000238
3.02	6.35263E-08	0.000000238
3.03	0.000000066	0.000000258
3.03	0.000000066	0.000000258
3.04	6.8693E-08	2.79803E-07
3.04	6.8693E-08	2.79803E-07
3.05	7.16073E-08	3.03392E-07
3.05	7.16073E-08	3.03392E-07
3.06	7.47674E-08	0.000000329
3.06	7.47674E-08	0.000000329
3.07	7.81939E-08	3.56703E-07
3.07	7.81939E-08	3.56703E-07
3.08	8.19093E-08	3.86774E-07
3.08	8.19093E-08	3.86774E-07
3.09	8.59378E-08	4.19381E-07
3.09	8.59378E-08	4.19381E-07
3.1	9.03061E-08	4.54737E-07
3.1	9.03061E-08	4.54737E-07
3.11	0.000000095	4.93074E-07
3.11	0.000000095	4.93074E-07
3.12	1.00178E-07	5.34642E-07
3.12	1.00178E-07	5.34642E-07
3.13	1.05747E-07	5.79715E-07
3.13	1.05747E-07	5.79715E-07
3.14	1.11785E-07	6.28587E-07
3.14	1.11785E-07	6.28587E-07
3.15	1.18333E-07	6.8158E-07
3.15	1.18333E-07	6.8158E-07
3.16	1.25432E-07	0.000000739
3.16	1.25432E-07	0.000000739
3.17	1.33129E-07	8.01345E-07
3.17	1.33129E-07	8.01345E-07
3.18	1.41476E-07	8.68902E-07
3.18	1.41476E-07	8.68902E-07
3.19	1.50526E-07	9.42154E-07
3.19	1.50526E-07	9.42154E-07
3.2	1.6034E-07	1.02158E-06
3.2	1.6034E-07	1.02158E-06
3.21	0.000000171	1.10771E-06
3.21	0.000000171	1.10771E-06
3.22	1.82518E-07	1.20109E-06
3.22	1.82518E-07	1.20109E-06
3.23	0.000000195	1.30235E-06
3.23	0.000000195	1.30235E-06
3.24	2.08594E-07	1.41214E-06
3.24	2.08594E-07	1.41214E-06
3.25	2.23302E-07	1.53119E-06
3.25	2.23302E-07	1.53119E-06
3.26	2.39251E-07	1.66028E-06
3.26	2.39251E-07	1.66028E-06
3.27	2.56544E-07	1.80025E-06
3.27	2.56544E-07	1.80025E-06
3.28	2.75295E-07	0.000001952
3.28	2.75295E-07	0.000001952
3.29	2.95627E-07	2.11658E-06
3.29	2.95627E-07	2.11658E-06
3.3	3.17673E-07	0.000002295
3.3	3.17673E-07	0.000002295
3.31	3.41578E-07	2.4885E-06
3.31	3.41578E-07	2.4885E-06
3.32	3.67497E-07	2.69829E-06
3.32	3.67497E-07	2.69829E-06
3.33	3.95602E-07	2.92577E-06
3.33	3.95602E-07	2.92577E-06
3.34	4.26077E-07	3.17243E-06
3.34	4.26077E-07	3.17243E-06
3.35	4.5912E-07	3.43988E-06
3.35	4.5912E-07	3.43988E-06
3.36	4.94949E-07	3.72987E-06
3.36	4.94949E-07	3.72987E-06
3.37	5.33799E-07	4.04432E-06
3.37	5.33799E-07	4.04432E-06
3.38	5.75924E-07	4.38527E-06
3.38	5.75924E-07	4.38527E-06
3.39	6.216E-07	0.000004755
3.39	6.216E-07	0.000004755
3.4	6.71127E-07	5.15584E-06
3.4	6.71127E-07	5.15584E-06
3.41	7.2483E-07	5.5905E-06
3.41	7.2483E-07	5.5905E-06
3.42	7.8306E-07	6.06181E-06
3.42	7.8306E-07	6.06181E-06
3.43	8.46198E-07	6.57284E-06
3.43	8.46198E-07	6.57284E-06
3.44	9.1466E-07	0.000007127
3.44	9.1466E-07	0.000007127
3.45	9.88893E-07	7.7278E-06
3.45	9.88893E-07	7.7278E-06
3.46	1.06938E-06	8.37929E-06
