x	Transistor-2
10	1.92E-08
9.59	1.72E-08
9.18	1.52E-08
8.78	1.32E-08
8.37	1.12E-08
7.96	9.65E-09
7.55	8.20E-09
7.14	6.97E-09
6.73	5.73E-09
6.33	4.73E-09
5.92	3.87E-09
5.51	3.13E-09
5.1	2.53E-09
4.69	1.98E-09
4.29	1.54E-09
3.88	1.18E-09
3.47	8.78E-10
3.06	6.60E-10
2.65	4.65E-10
2.24	3.22E-10
1.84	2.03E-10
1.43	1.25E-10
1.02	7.24E-11
0.612	2.12E-11
0.204	7.29E-12
-0.204	-4.23E-12
-0.612	-1.38E-11
-1.02	-2.06E-11
-1.43	-2.58E-11
-1.84	-3.29E-11
-2.24	-3.75E-11
-2.65	-4.36E-11
-3.06	-4.97E-11
-3.47	-5.35E-11
-3.88	-5.68E-11
-4.29	-6.05E-11
-4.69	-6.36E-11
-5.1	-6.71E-11
-5.51	-6.90E-11
-5.92	-7.23E-11
-6.33	-7.53E-11
-6.73	-7.77E-11
-7.14	-8.01E-11
-7.55	-8.24E-11
-7.96	-8.48E-11
-8.37	-8.65E-11
-8.78	-8.87E-11
-9.18	-9.53E-11
-9.59	-9.72E-11
-10	-9.92E-11
